	avgPOP2015	boundary_area	boundary_area	nres_area_ghs	res_area_ghs	sumPOP2015	sumPOP2015	sum_population_density	total_area_ghs	total_area_ghs	total_area_ghs
	mean	mean	std	mean	mean	mean	std	mean	count	mean	std
cluster											
0	690.7	120056455.2	136658403.9	356625.8	4346250.7	71341.8	170065.9	0.0	830	4702876.5	7714332.5
1	22.0	14790751800.4	1533360839.7	1193787.2	32722077.6	454196.7	443354.0	0.0	5	33915864.8	29640932.5
2	7.1	54006336288.3		1228226.0	48281198.0	516888.6		0.0	1	49509424.0	
3	53.1	2835042288.0	620020092.7	476957.1	13730423.1	181271.7	171818.0	0.0	34	14207380.2	9711255.5
4	1.6	31000913953.9		176075.0	8034158.0	63202.6		0.0	1	8210233.0	
5	23.4	9060534264.7	1258231593.1	829068.1	20781486.0	270521.1	285901.9	0.0	9	21610554.1	21797011.1
6	168.5	1113198188.2	361850692.7	716771.3	14654165.4	222548.5	309464.5	0.0	108	15370936.7	16578251.1
7	26.8	5934594088.1	806671776.6	751925.2	14475740.3	202119.2	324187.8	0.0	11	15227665.5	19537661.9
