	municipality	state_x	city_x	total_area_ghs	nres_area_ghs	res_area_ghs	msft_commercial_bldg_area	msft_commercial_bldg_count	msft_residential_bldg_area	msft_residential_bldg_count	msft_building_count	msft_area_sum	state_y	city_y	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	index_gt	city	year	city_id	total_area	population	city_type	wastewater	railway_length	road_length	RES-electricity	COM-electricity	MUN-electricity	IND-electricity	AFF-electricity	RES-coal	COM-coal	MUN-coal	IND-coal	AFF-coal	RES-natural_gas	COM-natural_gas	MUN-natural_gas	IND-natural_gas	AFF-natural_gas	RES-oil	COM-oil	MUN-oil	IND-oil	AFF-oil	RES-kerosene	COM-kerosene	MUN-kerosene	IND-kerosene	AFF-kerosene	RES-lpg	COM-lpg	MUN-lpg	IND-lpg	AFF-lpg	RES-biomass	COM-biomass	MUN-biomass	IND-biomass	AFF-biomass	RES-district_heating	COM-district_heating	MUN-district_heating	IND-district_heating	AFF-district_heating	gt_point_geometry	res_com_electricity	res_com_non_electricity	res_com_non_electricity_adjusted	bottom_up_emissions_estimate_ghs	bottom_up_emissions_estimate_msft	bottom_up_emissions_estimate_ghs_adjusted	absolute_percent_error_ghs	absolute_percent_error_msft	absolute_percent_error_ghs_adjusted
0	aguascalientes, aguascalientes	Aguascalientes	Aguascalientes	52174652.0	3160837.0	49013815.0	9172034.166857488	9251.0	7558787.438992996	80319	89570	16730821.605850484	Aguascalientes	Aguascalientes	586.2005970943959	865818.2819084227	1183071984.5146139	0.000731839053955493	381.0	Aguascalientes	2016.0	6942835.0		875860.0	URB				1500000000.0	1100000000.0									280000000.0	140000000.0					19000000.0				14000000.0					1800000000.0	620000000.0														POINT (-102.3 21.88333)	2600000000.0	2873000000.0	167869.39	1156281.4963657793	351735.3929629983	684749.9021478144	588.7982951303864	109.52920181755488	307.90635037621473
1	asientos, aguascalientes	Aguascalientes	Asientos	5784687.0	10593.0	5774094.0	1238902.7768133918	1630.0	2072835.7114868318	19767	21397	3311738.488300224	Aguascalientes	Asientos	71.93153288326457	49704.689222335815	551715843.723313	9.009110357770123e-05	269.0	Asientos	2016.0	6942836.0		49934.0	URB				76000000.0	9700000.0									14000000.0	1200000.0					160000.0				690000.0					87000000.0	5400000.0														POINT (-102.08333 22.23333)	85700000.0	108450000.0	6336.7335	128992.2888726479	70969.69267954721	76389.23347038208	1935.6274865062244	1019.9728169023867	1105.498597508986
2	calvillo, aguascalientes	Aguascalientes	Calvillo	5302392.0	75667.0	5226725.0	15104.451228703443	34.0	119159.33326988565	1446	1480	134263.78449858908	Aguascalientes	Calvillo	49.17890786662438	57490.1432960839	937091113.675024	6.134957685237535e-05	28.0	Calvillo	2016.0	6942837.0		58267.0	URB				98000000.0	31000000.0									18000000.0	3800000.0					520000.0				890000.0					110000000.0	17000000.0														POINT (-102.71666 21.85)	129000000.0	150210000.0	8776.7703	118083.62891918089	2959.245007689115	69929.12504593891	1245.410952810066	66.2832123145673	696.752366254121
3	cosío, aguascalientes	Aguascalientes	Cosío	1732227.0	27750.0	1704477.0	118883.96843847133	82.0	61163.2951800379	621	703	180047.26361850923	Aguascalientes	Cosío	98.10071508991129	15892.31584456563	130175762.7356687	0.00012208352392630974																																																			None				38569.41008142588	3738.0520936392436	22840.8046502204			
4	elllano, aguascalientes	Aguascalientes	ElLlano	3348609.0	10884.0	3337725.0	553198.739963696	688.0	830010.6121374561	8233	8921	1383209.352101152	Aguascalientes	ElLlano	31.30298196181747	20284.33231125772	512222093.1044472	3.9600658746130154e-05																																																			None				74659.27837825475	29558.34950502772	44213.224655602455			
5	jesúsmaría, aguascalientes	Aguascalientes	JesúsMaría	9987128.0	567899.0	9419229.0	3495548.2783349482	3517.0	2422099.265946791	23014	26531	5917647.544281739	Aguascalientes	JesúsMaría	187.72895854214045	119207.88867425919	508034599.5253546	0.00023464521665577984	91.0	Jesús María	2016.0	6942839.0		113254.0	URB				170000000.0	81000000.0									32000000.0	9900000.0					1300000.0				1600000.0					200000000.0	45000000.0														POINT (-102.35 21.96667)	251000000.0	289800000.0	16933.014	221418.9313804231	123820.84183740601	131124.29116348654	1207.6167738385093	631.2392338269254	674.3706534671651
6	pabellóndearteaga, aguascalientes	Aguascalientes	PabellóndeArteaga	3926135.0	15435.0	3910700.0	1569369.2850847598	1589.0	888277.1041522302	8191	9780	2457646.38923699	Aguascalientes	PabellóndeArteaga	177.49277056700626	44905.67095345259	198288772.6746534	0.0002264660290531554	152.0	Pabellón de Arteaga	2016.0	6942840.0		45183.0	URB				71000000.0	29000000.0									13000000.0	3600000.0					490000.0				650000.0					82000000.0	16000000.0														POINT (-102.26666 22.15)	100000000.0	115740000.0	6762.6882000000005	87529.32939991141	51149.113151295074	51834.868870627535	1194.2978710730947	656.3429162872698	666.4831992494868
7	rincónderomos, aguascalientes	Aguascalientes	RincóndeRomos	4727062.0	105236.0	4621826.0	1458245.9182386636	1581.0	1490986.3226810074	14179	15760	2949232.240919671	Aguascalientes	RincóndeRomos	111.23037785865078	53168.12061643507	378523210.9199033	0.0001404619824692484	190.0	Rincón de Romos	2016.0	6942841.0		53225.0	URB				84000000.0	31000000.0									15000000.0	3800000.0					520000.0				760000.0					96000000.0	17000000.0														POINT (-102.31666 22.23333)	115000000.0	133080000.0	7775.8644	105182.8902025625	62372.507767130024	62289.30757795751	1252.6842135076647	702.1295711783505	701.059591239239
8	sanfranciscodelosromo, aguascalientes	Aguascalientes	SanFranciscodelosRomo	4918824.0	771310.0	4147514.0	2067123.557233107	1605.0	853854.8644874012	8079	9684	2920978.421720508	Aguascalientes	SanFranciscodelosRomo	241.67531566099188	42051.50492501259	139854506.92115325	0.0003006803702702285	437.0	San Francisco de los Romo	2016.0	6942846.0		41188.0	URB				64000000.0	20000000.0									12000000.0	2400000.0					330000.0				590000.0					74000000.0	11000000.0														POINT (-102.22902 22.03307)	84000000.0	100320000.0	5861.6976	107904.60473716658	60320.71148180326	63901.10692535004	1740.8422286602872	929.0655642454715	990.146767812622
9	sanjosédegracia, aguascalientes	Aguascalientes	SanJosédeGracia	1279736.0		1279736.0	41282.116976947575	89.0	330042.87744228484	3876	3965	371324.9944192324	Aguascalientes	SanJosédeGracia	8.460844963111345	9205.399319865144	870733317.1267687	1.0572007684558307e-05																																																			None					8185.346957029309				
