	municipality	NAME_x	LABEL_x	FIPSCODE_x	total_area_ghs	nres_area_ghs	res_area_ghs	msft_commercial_bldg_area	msft_commercial_bldg_count	msft_residential_bldg_area	msft_residential_bldg_count	msft_building_count	msft_area_sum	NAME_y	LABEL_y	FIPSCODE_y	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	index_gt	city	year	city_id	total_area	population	city_type	wastewater	railway_length	road_length	RES-electricity	COM-electricity	MUN-electricity	IND-electricity	AFF-electricity	RES-coal	COM-coal	MUN-coal	IND-coal	AFF-coal	RES-natural_gas	COM-natural_gas	MUN-natural_gas	IND-natural_gas	AFF-natural_gas	RES-oil	COM-oil	MUN-oil	IND-oil	AFF-oil	RES-kerosene	COM-kerosene	MUN-kerosene	IND-kerosene	AFF-kerosene	RES-lpg	COM-lpg	MUN-lpg	IND-lpg	AFF-lpg	RES-biomass	COM-biomass	MUN-biomass	IND-biomass	AFF-biomass	RES-district_heating	COM-district_heating	MUN-district_heating	IND-district_heating	AFF-district_heating	gt_point_geometry	res_com_electricity	res_com_non_electricity	res_com_non_electricity_adjusted	bottom_up_emissions_estimate_ghs	bottom_up_emissions_estimate_msft	bottom_up_emissions_estimate_ghs_adjusted	absolute_percent_error_ghs	absolute_percent_error_msft	absolute_percent_error_ghs_adjusted
0	city of wakefield-82780	Wakefield	City of Wakefield	82780	445059.0	17168.0	427891.0	48694.56290640218	64	155377.2207111377	1366	1430	204071.78361753986	Wakefield	City of Wakefield	82780	45.94715754447445	1424.3618838787079	21834388.074556287	6.523479746787698e-05	460.0	Wakefield	2015.0	5013894.0		1709.0	RUR				25920000.0	15120000.0		8640000.0	5400000.0						64698338.88	15223138.56		19028923.2	1522313.856	614145.210432	946807.199416		409430.140288	2175097.62028																					POINT (-89.93989 46.47523)	49680000.0	100920783.190136	5261.00042770179	16327.515269300038	7711.927121199417	9669.154542479482	210.35000840006646	46.58670393927887	83.78927497451937
1	city of buchanan-11400	Buchanan	City of Buchanan	11400	742090.0	75976.0	666114.0	258937.4504805839	173	268473.63866548886	1937	2110	527411.0891460727	Buchanan	City of Buchanan	11400	368.47838465372723	4421.740615844727	6713499.299377789	0.0006586342559467514	295.0	Buchanan	2015.0	4987238.0		4334.0	URB				50400000.0	33840000.0		13680000.0							123688000.8	36154954.08		30446277.12		1215495.72898	1919203.7826		665323.977968																						POINT (-86.36112 41.82727)	97920000.0	194089255.489548	10117.872888670137	27485.788781720876	20665.567696767295	16277.084116535101	171.6558024018972	104.24814508105086	60.8745661824035
2	city of ovid-61860	Ovid	City of Ovid	61860	246531.0	21613.0	224918.0	66367.61962860361	71	96597.06852008858	650	721	162964.6881486922	Ovid	City of Ovid	61860	320.1138240814209	1600.5691204071045	2695304.0973212696	0.0005938361916185381	41.0	Ovid	2015.0	5004776.0		1613.0	RUR				17640000.0	9000000.0		9360000.0	255600.0						42815077.2	8943593.904		19980369.36	68504.12352	396635.448404	550171.751012		498992.983476	103637.0042604																					POINT (-84.37164 43.00586)	36000000.0	73184840.646892	3815.1257429224797	9111.08213036424	6310.159873442193	5395.5828376017025	138.8147270706975	65.39847697414179	41.426081371267045
3	city of westland-86000	Westland	City of Westland	86000	10952581.0	1142006.0	9810575.0	2296401.3521353393	1927	3738428.324295007	32869	34796	6034829.676430346	Westland	City of Westland	86000	925.9619524076387	71299.07033538818	52993161.7682236	0.0013454390709357787	506.0	Westland	2015.0	5014681.0		81545.0	URB				900000000.0	756000000.0		277200000.0							2188326168.0	875330467.2		589896619.2		19192037.826	43501952.4056		14074161.0724																						POINT (-83.40021 42.3242)	1933200000.0	3730321405.7039995	194461.6548793495	405779.59938569507	232784.57164416282	240302.6787562086	108.66818172325763	19.707184323094516	23.573297216513154
4	city of livonia-49000	Livonia	City of Livonia	49000	17413850.0	4039477.0	13374373.0	5414789.496133765	2826	6388858.954540254	42822	45648	11803648.45067402	Livonia	City of Livonia	49000	605.4966605430519	89613.50576037169	92920908.52220927	0.0009644062588879329	410.0	Livonia	2015.0	4999837.0		94041.0	URB				1080000000.0	2736000000.0		1224000000.0	13320000.0						2759193864.0	3330061560.0		2664049248.0	3615495.408	25589383.768	140741610.724		76768151.304	5373770.59128																					POINT (-83.35271 42.36837)	5040000000.0	8996403817.796	468982.5310217054	657435.3033428247	460403.6590405445	389333.18663962075	40.18332450689881	1.829251925966492	16.98343522701453
5	city of watervliet-84500	Watervliet	City of Watervliet	84500	188060.0	37617.0	150443.0	49599.72508674536	45	98556.27659459082	751	796	148156.00168133617	Watervliet	City of Watervliet	84500	385.2197608947754	1540.8790435791016	3166342.6715505985	0.0004866431727127353	351.0	Watervliet	2015.0	5014165.0		1680.0	RUR				20160000.0	18000000.0		1440000.0							51378092.64	20931815.52		2568904.632		498992.983476	997985.966952		217509.762028																						POINT (-86.26058 42.18671)	39600000.0	76593301.504456	3992.808807427291	7066.784352405959	5677.491261063546	4184.949693494808	76.98779714321809	42.192915686382584	4.812173468213736
6	city of berkley-07660	Berkley	City of Berkley	07660	1354731.0	49250.0	1305481.0	189679.77744289863	161	763944.9095528122	8013	8174	953624.686995711	Berkley	City of Berkley	07660	1435.0557163783483	10045.390014648438	6704893.527107346	0.001498217678481505	273.0	Berkley	2015.0	4985744.0		15272.0	URB				194400000.0	194400000.0		14400000.0							504266464.8	209318155.2		19980369.36		4861982.91592	12027010.37096		3198672.971																						POINT (-83.18354 42.50309)	403200000.0	753652655.61788	39287.91293736008	49683.3037048998	35828.71882623869	29422.45245404166	26.459513856370886	8.804728611154948	25.110675894257167
7	city of east jordan-24020	East Jordan	City of East Jordan	24020	565253.0	91649.0	473604.0	146833.2017746602	98	174484.90435414028	1258	1356	321318.1061288005	East Jordan	City of East Jordan	24020	136.3298528958112	2181.277646332979	10179858.670900084	0.00021427386340522886	492.0	East Jordan	2015.0	4991613.0		2348.0	RUR				31320000.0	12600000.0		28440000.0	316800.0						75164246.64	12368800.08		58038215.76	85630.1544	703708.05362	882833.739996		1279469.1884	127946.91884																					POINT (-85.12423 45.15806)	72360000.0	148437273.462016	7738.0350655748925	21122.46834686352	12529.942726635534	12508.725755012576	172.96940590038847	61.92667286271376	61.65248217421004
8	city of hart-36920	Hart	City of Hart	36920	527469.0	87010.0	440459.0	218850.73981397733	158	109878.08446240962	748	906	328728.82427638693	Hart	City of Hart	36920	210.88573417663574	2108.8573417663574	4956641.372362115	0.00042546094892505193	188.0	Hart	2015.0	4995436.0		2086.0	RUR				20160000.0	19080000.0		16560000.0							51378092.64	19980369.36		36154954.08		498992.983476	1202701.037096		870039.048112																						POINT (-86.36397 43.69834)	55800000.0	110085149.148684	5738.738825120897	19718.757987669	13197.72343484743	11677.44848029758	243.60786557059578	129.97602499481926	103.4845779909068
9	city of mackinac island-50280	Mackinac Island	City of Mackinac Island	50280	214350.0	10178.0	204172.0	106460.02916132161	121	83987.05757455561	526	647	190447.08673587724	Mackinac Island	City of Mackinac Island	50280	21.573651083641582	388.3257195055485	11092735.544211587	3.500720971466634e-05	83.0	Mackinac Island	2015.0	5000451.0		477.0	RUR				18720000.0	35280000.0		1188000.0							43766523.36	31397723.28		2093181.552		435019.524056	2686885.29564		179125.686376																						POINT (-84.61893 45.84918)	55188000.0	80558458.698072	4199.512451930494	7874.222264756639	7533.815649359517	4663.114425188881	87.50324841010772	79.39738804432552	11.039423708465774
10	city of montrose-55280	Montrose	City of Montrose	55280	252255.0	11992.0	240263.0	69688.91186712332	58	101581.45099250725	762	820	171270.36285963058	Montrose	City of Montrose	55280	377.8841743469238	1511.5366973876953	2530674.172855062	0.0005972861752022412	448.0	Montrose	2015.0	5002411.0		1573.0	RUR				18720000.0	7920000.0		1764000.0							46620861.84	8563015.44		1046590.776		447814.21594	486198.291592		140741.610724																						POINT (-83.89274 43.17669)	28404000.0	57305222.174256004	2987.3212319439654	9266.753822961959	6631.426298873515	5487.771613958072	210.20279050913194	121.98571174611142	83.70209253950793
11	city of standish-76120	Standish	City of Standish	76120	452431.0	79287.0	373144.0	166225.35675874067	143	94303.12824255855	569	712	260528.4850012992	Standish	City of Standish	76120	157.57928314208985	1575.7928314208984	5254670.419833824	0.0002998842373582646	291.0	Standish	2015.0	5011020.0		1437.0	RUR				17640000.0	27000000.0		17280000.0							42815077.2	30446277.12		35203507.92		422224.832172	1535363.02608		626939.902316																						POINT (-83.95888 43.98308)	61920000.0	111049390.000568	5789.00470072961	16939.25064164736	10419.777538425733	10031.424229983564	192.61075983428452	79.99255618349194	73.28409197386326
12	city of white cloud-86680	White Cloud	City of White Cloud	86680	234055.0	40034.0	194021.0	92220.74395041769	67	80778.32549013765	577	644	172999.06944055535	White Cloud	City of White Cloud	86680	157.24418048858644	786.2209024429321	5146643.130818902	0.00015276382730617532	288.0	White Cloud	2015.0	5014811.0		1377.0	RUR				13320000.0	6120000.0		4320000.0							31397723.28	6089255.424		9514461.6		294277.913332	422224.832172		166330.994492																						POINT (-85.772 43.5503)	23760000.0	47884274.043996006	2496.2072059135116	8757.71285930892	6818.838189399681	5186.317555282742	250.8407811083114	173.16795549848035	107.76791057234203
