	municipality	edgar_emission_2015(tons_CO2)
0	LOWELL	34140.878034313515
1	BEVERLY	14025.932046138792
2	GLOUCESTER	44820.29933857564
3	CHESTER	987.0547127857837
4	WINCHESTER	42790.43221720636
5	MILLVILLE	10856.279269972169
6	BRIDGEWATER	55434.51039027185
7	HOPEDALE	8919.730835281454
8	TOPSFIELD	8587.842799897024
9	BOXFORD	22372.89296491851
10	WALPOLE	81832.07317310452
11	BERLIN	8281.805489316488
12	SHARON	79256.1482691926
13	LYNN	60556.693142254015
14	NORWOOD	87320.055518068
15	WALES	2262.7416554873225
16	SOMERVILLE	56890.21313031051
17	LEYDEN	1792.521949590859
18	HUNTINGTON	1873.5840987436864
19	DUDLEY	16165.40786063976
20	TOLLAND	708.5945026318639
21	CANTON	171711.82185033587
22	MASHPEE	25893.491584381743
23	LYNNFIELD	39564.41079317285
24	BARNSTABLE	83734.13331443645
25	DOVER	70580.68982731295
26	MENDON	32713.890020565093
27	HUDSON	14698.705713727959
28	WESTWOOD	96633.74561718182
29	HOLLAND	2810.6241435094444
30	CAMBRIDGE	88053.60002725228
31	FITCHBURG	9245.025218701285
32	LEOMINSTER	64974.831104975245
33	LUNENBURG	11026.230942875674
34	LEXINGTON	106599.41279048703
35	LANESBOROUGH	5947.610318370251
36	PLAINFIELD	569.7564347580644
37	GOSNOLD	6943.210308464082
38	PERU	683.5728854086606
39	SHERBORN	32505.544399260332
40	MIDDLEBOROUGH	35025.60307128373
41	FALL RIVER	30409.891374691993
42	HOLLISTON	49517.78193160078
43	GREENFIELD	7515.7136611264905
44	GRAFTON	33341.59225792065
45	BLACKSTONE	21689.63239183474
46	MEDFORD	112529.2925824261
47	PEMBROKE	23181.311186872375
48	DUXBURY	15743.569826097482
49	BOSTON	779662.1753970748
50	CONCORD	47418.1789834519
51	WINDSOR	718.8999326269063
52	TAUNTON	78803.58077969572
53	WAREHAM	29936.762192758564
54	NORTH BROOKFIELD	4324.58060642463
55	CHARLTON	55128.513773784856
56	DEERFIELD	12653.375270311088
57	CONWAY	18063.865626815492
58	DALTON	2683.9022390551504
59	WELLESLEY	88443.0421775778
60	NEEDHAM	218635.68811465637
61	PETERSHAM	8841.938651009597
62	READING	22068.265034377768
63	QUINCY	76633.80069967592
64	CHESTERFIELD	962.1054289894959
65	RANDOLPH	72401.7908533581
66	SHEFFIELD	5411.448339855304
67	NEWBURYPORT	12000.837685847304
68	MAYNARD	8936.119191460919
69	LANCASTER	20694.572637084588
70	DIGHTON	22763.425875407353
