	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	edgar_emission_2015(tons_CO2)	absolute_percent_error_edgar (percent error)	region	state	city	NAME	LABEL	FIPSCODE
0	lowell	3948586919.52552	230005.18806236156	34140.878034313515	85.1564748074044	massachusetts					
1	beverly			14025.932046138792		massachusetts					
2	gloucester			44820.29933857564		massachusetts					
3	chester			987.0547127857836		massachusetts					
4	winchester			42790.43221720636		massachusetts					
5	millville			10856.279269972169		massachusetts					
6	bridgewater			55434.51039027185		massachusetts					
7	hopedale			8919.730835281454		massachusetts					
8	topsfield			8587.842799897024		massachusetts					
9	boxford			22372.89296491851		massachusetts					
10	walpole			81832.07317310452		massachusetts					
11	berlin			8281.805489316488		massachusetts					
12	sharon			79256.1482691926		massachusetts					
13	lynn	2984576513.6596003	173851.5819206717	60556.693142254015	65.16759153224963	massachusetts					
14	norwood			87320.055518068		massachusetts					
15	wales			2262.7416554873225		massachusetts					
16	somerville	2727276761.88348	158863.8713797127	56890.21313031051	64.18933226527456	massachusetts					
17	leyden			1792.521949590859		massachusetts					
18	huntington			1873.5840987436864		massachusetts					
19	dudley			16165.40786063976		massachusetts					
20	tolland			708.5945026318639		massachusetts					
21	canton			171711.82185033587		massachusetts					
22	mashpee			25893.491584381743		massachusetts					
23	lynnfield			39564.41079317285		massachusetts					
24	barnstable			83734.13331443645		massachusetts					
25	dover			70580.68982731295		massachusetts					
26	mendon			32713.890020565093		massachusetts					
27	hudson			14698.70571372796		massachusetts					
28	westwood			96633.74561718182		massachusetts					
29	holland			2810.6241435094444		massachusetts					
30	cambridge	6117525771.3886	356345.876183386	88053.60002725228	75.28985013932437	massachusetts					
31	fitchburg			9245.025218701285		massachusetts					
32	leominster			64974.831104975245		massachusetts					
33	lunenburg			11026.230942875674		massachusetts					
34	lexington			106599.41279048704		massachusetts					
35	lanesborough			5947.610318370251		massachusetts					
36	plainfield			569.7564347580644		massachusetts					
37	gosnold			6943.210308464082		massachusetts					
38	peru			683.5728854086606		massachusetts					
39	sherborn			32505.54439926033		massachusetts					
40	middleborough			35025.60307128373		massachusetts					
41	fall river	4091722851.9892	238342.8561283709	30409.891374691997	87.24111480886454	massachusetts					
42	holliston			49517.78193160078		massachusetts					
43	greenfield			7515.71366112649		massachusetts					
44	grafton			33341.59225792065		massachusetts					
45	blackstone			21689.63239183474		massachusetts					
46	medford	2118027826.77872	123375.12090986044	112529.2925824261	8.7909363309629	massachusetts					
47	pembroke			23181.31118687237		massachusetts					
48	duxbury			15743.569826097482		massachusetts					
49	boston	34894797090.3156	2032621.9305108837	779662.1753970748	61.64253845273071	massachusetts					
50	concord			47418.1789834519		massachusetts					
51	windsor			718.8999326269063		massachusetts					
52	taunton	2869493120.1068	167147.9742462211	78803.58077969572	52.854001889599736	massachusetts					
53	wareham			29936.762192758564		massachusetts					
54	north brookfield			4324.58060642463		massachusetts					
55	charlton			55128.513773784856		massachusetts					
56	deerfield			12653.375270311088		massachusetts					
57	conway			18063.86562681549		massachusetts					
58	dalton			2683.9022390551504		massachusetts					
59	wellesley			88443.0421775778		massachusetts					
60	needham			218635.6881146564		massachusetts					
61	petersham			8841.938651009597		massachusetts					
62	reading			22068.265034377768		massachusetts					
63	quincy	4414552367.99764	257147.6754358625	76633.80069967592	70.19852480883505	massachusetts					
64	chesterfield			962.105428989496		massachusetts					
65	randolph			72401.7908533581		massachusetts					
66	sheffield			5411.448339855304		massachusetts					
67	newburyport			12000.837685847304		massachusetts					
68	maynard			8936.119191460919		massachusetts					
69	lancaster			20694.572637084588		massachusetts					
70	dighton			22763.425875407356		massachusetts					
71	athol			2289.961147079433		massachusetts					
72	cheshire			9051.980234541636		massachusetts					
73	essex			3700.40879184378		massachusetts					
74	ware			4881.316136015508		massachusetts					
75	nantucket			6819.058665556792		massachusetts					
76	tewksbury			73907.7170695683		massachusetts					
77	egremont			2323.528094461937		massachusetts					
78	brookline			135590.07790360725		massachusetts					
79	lenox			34865.61762039639		massachusetts					
80	pittsfield			30958.45566315327		massachusetts					
81	everett	1502313755.0995998	87509.7762345517	43569.50911591476	50.211838047516224	massachusetts					
82	tyngsborough			21270.60348039089		massachusetts					
83	malden	2054550594.57704	119677.5721341126	65138.430744576624	45.57173112470776	massachusetts					
84	stoneham			19331.816673296304		massachusetts					
85	northampton			45524.59543462047		massachusetts					
86	braintree			58707.83445432022		massachusetts					
87	scituate			6094.700420615337		massachusetts					
88	nahant			20468.825495534817		massachusetts					
89	wenham			6321.312465216759		massachusetts					
90	bellingham			32071.104643724844		massachusetts					
91	sturbridge			11499.886915931214		massachusetts					
92	belmont			45162.86367310426		massachusetts					
93	west bridgewater			46213.964764723896		massachusetts					
94	carlisle			40613.44374310257		massachusetts					
95	saugus			74670.61057950644		massachusetts					
96	hubbardston			27680.79943737286		massachusetts					
97	fairhaven			8912.666620953798		massachusetts					
98	sandwich			15537.567745458517		massachusetts					
99	marshfield			9783.420539015347		massachusetts					
100	goshen			761.5524463953697		massachusetts					
101	dunstable			70554.39252633494		massachusetts					
102	savoy			1054.5718064458615		massachusetts					
103	arlington			54738.20491326576		massachusetts					
104	hardwick			2606.289210079465		massachusetts					
105	mount washington			1500.8973819704925		massachusetts					
106	ashby			2839.907512811229		massachusetts					
107	hull			656.0888164144128		massachusetts					
108	northborough			35128.91153222301		massachusetts					
109	westfield			107265.60687934092		massachusetts					
110	salem			36107.18007518944		massachusetts					
111	marlborough			44073.17593868941		massachusetts					
112	belchertown			4357.540456083598		massachusetts					
113	freetown			23989.633940207877		massachusetts					
114	florida			483.6181068879641		massachusetts					
115	hadley			23559.325873505357		massachusetts					
116	north adams			2068.9604930413207		massachusetts					
117	mansfield			30779.802844694983		massachusetts					
118	bernardston			2537.30681871376		massachusetts					
119	dracut			41693.10724681622		massachusetts					
120	shutesbury			3937.773572052308		massachusetts					
121	franklin			40344.55907788733		massachusetts					
122	westminster			27263.57711687499		massachusetts					
123	revere	1695703499.5297203	98774.7288476062	61034.613400817245	38.20827036135528	massachusetts					
124	wrentham			42805.28744530647		massachusetts					
125	avon			16905.30061701723		massachusetts					
126	acushnet			2468.5651308035904		massachusetts					
127	marion			16941.707964029058		massachusetts					
128	burlington			41353.67357599051		massachusetts					
129	hawley			970.1867604972448		massachusetts					
130	lawrence	2892429284.2752004	168484.0058090304	37296.26817950397	77.86361500581977	massachusetts					
131	ludlow			6677.794970652901		massachusetts					
132	norfolk			37046.6076182784		massachusetts					
133	whitman			12942.56756590798		massachusetts					
134	clarksburg			1045.7869642347562		massachusetts					
135	paxton			20054.77468063893		massachusetts					
136	southborough			34161.36109665918		massachusetts					
137	milford			38841.82727544902		massachusetts					
138	boylston			16115.030448562024		massachusetts					
139	plainville			18436.11678285272		massachusetts					
140	new bedford	4448970089.1656	259152.5076938962	19104.36285636304	92.62813891852106	massachusetts					
141	marblehead			22904.775865522613		massachusetts					
142	longmeadow			45477.25848262719		massachusetts					
143	granville			12128.23116434202		massachusetts					
144	webster			10120.085357262244		massachusetts					
145	southbridge			10070.83093607502		massachusetts					
146	salisbury			12932.998690372826		massachusetts					
147	amherst			3966.5358309246367		massachusetts					
148	aquinnah			294.9053700041436		massachusetts					
149	chilmark			5204.898534681166		massachusetts					
150	chelsea			24763.37132383733		massachusetts					
151	newton	4660847182.7424	271494.3483947448	348574.40289824887	28.3910346418821	massachusetts					
152	ipswich			4563.742908140503		massachusetts					
153	cohasset			4315.008138691511		massachusetts					
154	auburn			91660.04345951015		massachusetts					
155	chicopee	2594690088.2692	151140.6976416809	34738.26047450116	77.01594539621789	massachusetts					
156	hamilton			8723.28015232413		massachusetts					
157	plymouth			57512.387374515936		massachusetts					
158	barre			6227.525528012364		massachusetts					
159	bolton			11728.361164136208		massachusetts					
160	warwick			2406.8072270680905		massachusetts					
161	falmouth			54106.03800377262		massachusetts					
162	seekonk			15521.23841909365		massachusetts					
163	templeton			17054.777339298595		massachusetts					
164	palmer			12307.976670407106		massachusetts					
165	foxborough			52290.02485539623		massachusetts					
166	peabody	2737360622.66336	159451.25627014073	74224.99218639103	53.4497288245633	massachusetts					
167	agawam			115907.3616898406		massachusetts					
168	medfield			38271.43359825811		massachusetts					
169	worcester	8808815783.382	513113.5193820015	92002.9822621257	82.06966318624094	massachusetts					
170	swampscott			12899.49901431058		massachusetts					
171	wayland			37923.18841304935		massachusetts					
172	milton			157829.56989954293		massachusetts					
173	adams			5129.409398362708		massachusetts					
174	millis			25013.975900509693		massachusetts					
175	brimfield			7502.555124482224		massachusetts					
176	ashburnham			5612.673394046546		massachusetts					
177	colrain			2208.3373919463206		massachusetts					
178	northfield			3231.94116975906		massachusetts					
179	plympton			17763.310142653758		massachusetts					
180	berkley			16434.71799327767		massachusetts					
181	kingston			19482.29962980301		massachusetts					
182	montague			3362.0257233792463		massachusetts					
183	west stockbridge			1176.3815555998328		massachusetts					
184	danvers			12035.549835604295		massachusetts					
185	otis			876.2398116915954		massachusetts					
186	becket			966.7641708560172		massachusetts					
187	great barrington			6080.032690270908		massachusetts					
188	rowe			706.3212257007765		massachusetts					
189	middlefield			617.4594219136574		massachusetts					
190	groton			27308.884892115857		massachusetts					
191	truro			1721.7894866374336		massachusetts					
192	winchendon			8580.92010288398		massachusetts					
193	wellfleet			1902.552062963867		massachusetts					
194	amesbury			14551.12952323036		massachusetts					
195	hancock			5682.322372554549		massachusetts					
196	westborough			49732.54364280463		massachusetts					
197	halifax			20948.84942543899		massachusetts					
198	worthington			1020.1500394164474		massachusetts					
199	norwell			15594.963627004376		massachusetts					
200	brewster			9116.536518224835		massachusetts					
201	edgartown			3268.8695274562865		massachusetts					
202	clinton			6089.659894042989		massachusetts					
203	stow			33309.85228063828		massachusetts					
204	attleboro	2670943447.8756	155582.4558387537	53196.67523444085	65.80805017657381	massachusetts					
205	harwich			9344.544363301542		massachusetts					
206	stoughton			74781.2122764197		massachusetts					
207	somerset			19835.26993860848		massachusetts					
208	newbury			23261.74743890309		massachusetts					
209	hanover			16420.645347034308		massachusetts					
210	uxbridge			51907.14000163077		massachusetts					
211	groveland			9803.058496344727		massachusetts					
212	millbury			66934.91507250511		massachusetts					
213	pelham			408.81733522046176		massachusetts					
214	wakefield			24142.08747378843		massachusetts					
215	rockland			11053.759292792349		massachusetts					
216	medway			22035.156096018487		massachusetts					
217	west brookfield			4180.519059253132		massachusetts					
218	new salem			16346.24224785205		massachusetts					
219	chatham			7564.46002140746		massachusetts					
220	waltham	4813190787.3292	280368.3633619259	93021.19056192743	66.8217949248978	massachusetts					
221	holbrook			27427.843466749997		massachusetts					
222	pepperell			34490.92694868004		massachusetts					
223	gill			1068.2907554331823		massachusetts					
224	dennis			10189.505461550503		massachusetts					
225	leverett			1359.4669019118687		massachusetts					
226	brookfield			7447.583625692463		massachusetts					
227	north attleborough			36615.23026369575		massachusetts					
228	weymouth	4018853656.3473234	234098.2254822316	39634.86467487843	83.06913066374919	massachusetts					
229	westhampton			7504.063687193759		massachusetts					
230	west boylston			10580.391333891685		massachusetts					
231	leicester			113146.4317434425		massachusetts					
232	hinsdale			1343.2875114129872		massachusetts					
233	shrewsbury			19092.943614595784		massachusetts					
234	provincetown			5533.137910901761		massachusetts					
235	upton			26274.19456976281		massachusetts					
236	billerica			74340.58836970555		massachusetts					
237	rochester			11459.127004194952		massachusetts					
238	harvard			24850.379487321483		massachusetts					
239	woburn			39739.3500537959		massachusetts					
240	wilbraham			17908.008539261304		massachusetts					
241	georgetown			6177.765340976115		massachusetts					
242	carver			31936.848243417327		massachusetts					
243	eastham			1911.6349143009709		massachusetts					
244	melrose			31251.64650396366		massachusetts					
245	manchester			5388.557320862824		massachusetts					
246	sutton			50269.08023469799		massachusetts					
247	framingham			52745.56063439665		massachusetts					
248	holyoke			36946.17494362342		massachusetts					
249	new ashford			8813.72235612438		massachusetts					
250	new marlborough			1279.2124072395106		massachusetts					
251	montgomery			2712.602894946196		massachusetts					
252	andover			115656.86851098092		massachusetts					
253	east brookfield			5330.850918710468		massachusetts					
254	spencer			21318.92101142857		massachusetts					
255	wilmington			54809.36789930148		massachusetts					
256	richmond			16316.24363209835		massachusetts					
257	douglas			29245.488048788196		massachusetts					
258	abington			26039.517689303928		massachusetts					
259	southwick			56848.60512367285		massachusetts					
260	yarmouth			33825.882071028274		massachusetts					
261	alford			1283.3978708640552		massachusetts					
262	springfield	6491995741.15948	378158.7519225397	108886.25119693988	71.20620621805848	massachusetts					
263	bedford			48948.40456178941		massachusetts					
264	ashland			29807.217568376305		massachusetts					
265	monroe			200.63989028885197		massachusetts					
266	oakham			4438.550520639456		massachusetts					
267	hanson			17785.219810181432		massachusetts					
268	raynham			40609.92745618706		massachusetts					
269	weston			84294.6931418555		massachusetts					
270	gardner			4938.746753743109		massachusetts					
271	orange			3205.651199593731		massachusetts					
272	dartmouth			211218.567055826		massachusetts					
273	cummington			636.7072736619024		massachusetts					
274	granby			9674.14816354346		massachusetts					
275	lee			4610.593235667017		massachusetts					
276	sterling			46421.78387778463		massachusetts					
277	warren			8697.197400978688		massachusetts					
278	lakeville			16281.044110135635		massachusetts					
279	royalston			4587.520734116984		massachusetts					
280	watertown			40941.82427353221		massachusetts					
281	easton			126109.82751138238		massachusetts					
282	east bridgewater			32936.32394265442		massachusetts					
283	natick			77087.3282154319		massachusetts					
284	brockton	3958427610.37752	230578.40830449056	76026.8312726693	67.0277751365722	massachusetts					
285	wendell			3933.536205295741		massachusetts					
286	westford			140305.36052942136		massachusetts					
287	north reading			7965.779046056623		massachusetts					
288	tisbury			11123.194642124608		massachusetts					
289	acton			24614.999261619643		massachusetts					
290	middleton			8470.893613085598		massachusetts					
291	tyringham			295.57808542269447		massachusetts					
292	hingham			20421.342500109404		massachusetts					
293	oak bluffs			5898.960220454712		massachusetts					
294	rutland			6094.83143673168		massachusetts					
295	mattapoisett			10647.115470437957		massachusetts					
296	westport			50936.1597552926		massachusetts					
297	charlemont			1642.323290183493		massachusetts					
298	west springfield			82193.55238990979		massachusetts					
