	state	city	municipality	edgar_emission_2015(tons_CO2)
0	Aguascalientes	Aguascalientes	Aguascalientes, Aguascalientes	178541.07849673377
1	Aguascalientes	Asientos	Asientos, Aguascalientes	23620.91441793403
2	Aguascalientes	Calvillo	Calvillo, Aguascalientes	15284.48864073316
3	Aguascalientes	Cosío	Cosío, Aguascalientes	5480.281913050588
4	Aguascalientes	ElLlano	ElLlano, Aguascalientes	9198.91676223404
5	Aguascalientes	JesúsMaría	JesúsMaría, Aguascalientes	32155.299517506188
6	Aguascalientes	PabellóndeArteaga	PabellóndeArteaga, Aguascalientes	12606.50412079709
7	Aguascalientes	RincóndeRomos	RincóndeRomos, Aguascalientes	14048.134898049711
8	Aguascalientes	SanFranciscodelosRomo	SanFranciscodelosRomo, Aguascalientes	7935.950871049574
9	Aguascalientes	SanJosédeGracia	SanJosédeGracia, Aguascalientes	11516.522758099976
10	Aguascalientes	Tepezalá	Tepezalá, Aguascalientes	6848.6213902425325
11	BajaCalifornia	Ensenada	Ensenada, BajaCalifornia	103546.69879968243
12	BajaCalifornia	Mexicali	Mexicali, BajaCalifornia	423784.62787131954
13	BajaCalifornia	PlayasdeRosarito	PlayasdeRosarito, BajaCalifornia	80070.69238201721
14	BajaCalifornia	Tecate	Tecate, BajaCalifornia	33798.04515774211
15	BajaCalifornia	Tijuana	Tijuana, BajaCalifornia	570831.3506336882
16	BajaCaliforniaSur	Comondú	Comondú, BajaCaliforniaSur	20208.368739213023
17	BajaCaliforniaSur	LaPaz	LaPaz, BajaCaliforniaSur	61523.564546352725
18	BajaCaliforniaSur	Loreto	Loreto, BajaCaliforniaSur	5416.149631709357
19	BajaCaliforniaSur	LosCabos	LosCabos, BajaCaliforniaSur	64586.89377326878
20	BajaCaliforniaSur	Mulegé	Mulegé, BajaCaliforniaSur	22493.31224130463
21	Campeche	Calakmul	Calakmul, Campeche	16277.383663687388
22	Campeche	Calkiní	Calkiní, Campeche	17651.079374724064
23	Campeche	Campeche	Campeche, Campeche	57888.17100076557
24	Campeche	Candelaria	Candelaria, Campeche	19491.98259914379
25	Campeche	Carmen	Carmen, Campeche	55310.38831267928
26	Campeche	Champotón	Champotón, Campeche	31390.07749051588
27	Campeche	Escárcega	Escárcega, Campeche	19361.848550263538
28	Campeche	Hecelchakán	Hecelchakán, Campeche	10198.517286254539
29	Campeche	Hopelchén	Hopelchén, Campeche	19185.74722873696
30	Campeche	Palizada	Palizada, Campeche	3710.0672579090906
31	Campeche	Tenabo	Tenabo, Campeche	3433.913436191285
32	Chiapas	Acacoyagua	Acacoyagua, Chiapas	2192.822451115747
33	Chiapas	Acala	Acala, Chiapas	10497.864185956945
34	Chiapas	Acapetahua	Acapetahua, Chiapas	20098.64979791645
35	Chiapas	Aldama	Aldama, Chiapas	937.3774212523948
36	Chiapas	Altamirano	Altamirano, Chiapas	14310.764148881863
37	Chiapas	Amatán	Amatán, Chiapas	12758.538546028072
38	Chiapas	AmatenangodelaFrontera	AmatenangodelaFrontera, Chiapas	14001.188867715466
39	Chiapas	AmatenangodelValle	AmatenangodelValle, Chiapas	3329.6439575091367
40	Chiapas	AngelAlbinoCorzo	AngelAlbinoCorzo, Chiapas	8824.049201206937
41	Chiapas	Arriaga	Arriaga, Chiapas	14889.429291068695
42	Chiapas	BejucaldeOcampo	BejucaldeOcampo, Chiapas	4609.565853624929
43	Chiapas	BellaVista	BellaVista, Chiapas	12548.522190787176
44	Chiapas	BeneméritodelasAméricas	BeneméritodelasAméricas, Chiapas	4629.222620112533
45	Chiapas	Berriozábal	Berriozábal, Chiapas	12187.077722187767
46	Chiapas	Bochil	Bochil, Chiapas	14607.6144931202
47	Chiapas	Cacahoatán	Cacahoatán, Chiapas	5522.118221780311
48	Chiapas	Catazajá	Catazajá, Chiapas	7615.747210042984
49	Chiapas	Chalchihuitán	Chalchihuitán, Chiapas	5812.204349640351
50	Chiapas	Chamula	Chamula, Chiapas	24409.089021178777
51	Chiapas	Chanal	Chanal, Chiapas	6676.226244448147
52	Chiapas	Chapultenango	Chapultenango, Chiapas	3665.6417791721396
53	Chiapas	Chenalhó	Chenalhó, Chiapas	12303.403865947632
54	Chiapas	ChiapadeCorzo	ChiapadeCorzo, Chiapas	31039.430276423085
55	Chiapas	Chiapilla	Chiapilla, Chiapas	520.451923902654
56	Chiapas	Chicoasén	Chicoasén, Chiapas	2615.905051469483
57	Chiapas	Chicomuselo	Chicomuselo, Chiapas	16401.69634015352
58	Chiapas	Chilón	Chilón, Chiapas	52777.427411363606
59	Chiapas	Cintalapa	Cintalapa, Chiapas	30997.155899593505
60	Chiapas	Coapilla	Coapilla, Chiapas	7400.761668638175
61	Chiapas	ComitándeDomínguez	ComitándeDomínguez, Chiapas	30216.296177265245
62	Chiapas	Copainalá	Copainalá, Chiapas	11542.889143283974
63	Chiapas	ElBosque	ElBosque, Chiapas	6927.028605326814
64	Chiapas	ElPorvenir	ElPorvenir, Chiapas	4448.476096902589
65	Chiapas	Escuintla	Escuintla, Chiapas	11329.113757040986
66	Chiapas	FranciscoLeón	FranciscoLeón, Chiapas	2512.378072206694
67	Chiapas	FronteraComalapa	FronteraComalapa, Chiapas	18154.244371752182
68	Chiapas	FronteraHidalgo	FronteraHidalgo, Chiapas	4868.222504142384
69	Chiapas	Huehuetán	Huehuetán, Chiapas	16658.470797035236
70	Chiapas	Huitiupán	Huitiupán, Chiapas	17960.359890383555
71	Chiapas	Huixtán	Huixtán, Chiapas	14624.238699002748
72	Chiapas	Huixtla	Huixtla, Chiapas	20297.74272897547
73	Chiapas	Ixhuatán	Ixhuatán, Chiapas	3660.0899788364186
74	Chiapas	Ixtacomitán	Ixtacomitán, Chiapas	4128.198000674354
75	Chiapas	Ixtapa	Ixtapa, Chiapas	13408.526453109465
76	Chiapas	Ixtapangajoya	Ixtapangajoya, Chiapas	7537.483035319109
77	Chiapas	Jiquipilas	Jiquipilas, Chiapas	14436.245765218355
78	Chiapas	Jitotol	Jitotol, Chiapas	11368.951283895698
79	Chiapas	Juárez	Juárez, Chiapas	16100.278510936112
80	Chiapas	LaConcordia	LaConcordia, Chiapas	22764.009398826915
81	Chiapas	LaGrandeza	LaGrandeza, Chiapas	3938.947482357774
82	Chiapas	LaIndependencia	LaIndependencia, Chiapas	16782.026764114315
83	Chiapas	LaLibertad	LaLibertad, Chiapas	6413.825157340705
84	Chiapas	LaTrinitaria	LaTrinitaria, Chiapas	46136.892975451345
85	Chiapas	Larráinzar	Larráinzar, Chiapas	6561.314113069728
86	Chiapas	LasMargaritas	LasMargaritas, Chiapas	49099.56588872613
87	Chiapas	LasRosas	LasRosas, Chiapas	4231.9748516815
88	Chiapas	Mapastepec	Mapastepec, Chiapas	20450.553521389782
89	Chiapas	MaravillaTenejapa	MaravillaTenejapa, Chiapas	3386.06911812883
90	Chiapas	MarquésdeComillas	MarquésdeComillas, Chiapas	4612.368534891857
91	Chiapas	MazapadeMadero	MazapadeMadero, Chiapas	2615.806208046564
92	Chiapas	Mazatán	Mazatán, Chiapas	20256.52307660079
93	Chiapas	Metapa	Metapa, Chiapas	1298.837783075133
94	Chiapas	Mitontic	Mitontic, Chiapas	2474.0330500167265
95	Chiapas	MontecristodeGuerrero	MontecristodeGuerrero, Chiapas	3723.234719697726
96	Chiapas	Motozintla	Motozintla, Chiapas	25657.812617882744
97	Chiapas	NicolásRuíz	NicolásRuíz, Chiapas	1243.9249319998708
98	Chiapas	Ocosingo	Ocosingo, Chiapas	90453.74872857291
99	Chiapas	Ocotepec	Ocotepec, Chiapas	2792.830136582049
100	Chiapas	OcozocoautladeEspinosa	OcozocoautladeEspinosa, Chiapas	60815.05599955655
101	Chiapas	Ostuacán	Ostuacán, Chiapas	10145.567194545396
102	Chiapas	Osumacinta	Osumacinta, Chiapas	2370.1501632323457
103	Chiapas	Oxchuc	Oxchuc, Chiapas	18832.43692955396
104	Chiapas	Palenque	Palenque, Chiapas	46199.587432402695
105	Chiapas	Pantelhó	Pantelhó, Chiapas	10336.826991095915
106	Chiapas	Pantepec	Pantepec, Chiapas	5888.805383432766
107	Chiapas	Pichucalco	Pichucalco, Chiapas	14893.914603202507
108	Chiapas	Pijijiapan	Pijijiapan, Chiapas	23236.180812571252
109	Chiapas	PuebloNuevoSolistahuacán	PuebloNuevoSolistahuacán, Chiapas	9019.557317952424
110	Chiapas	Rayón	Rayón, Chiapas	3277.649685659658
111	Chiapas	Reforma	Reforma, Chiapas	24357.971289344965
112	Chiapas	Sabanilla	Sabanilla, Chiapas	11393.736502738237
113	Chiapas	SaltodeAgua	SaltodeAgua, Chiapas	24280.35783632031
114	Chiapas	SanAndrésDuraznal	SanAndrésDuraznal, Chiapas	1912.0310180792335
115	Chiapas	SanCristóbaldelasCasas	SanCristóbaldelasCasas, Chiapas	42558.37070243565
116	Chiapas	SanFernando	SanFernando, Chiapas	8569.586987282208
117	Chiapas	SanJuanCancuc	SanJuanCancuc, Chiapas	10188.658619345048
118	Chiapas	SanLucas	SanLucas, Chiapas	4655.030491913738
119	Chiapas	SantiagoelPinar	SantiagoelPinar, Chiapas	546.2918718529988
120	Chiapas	Siltepec	Siltepec, Chiapas	28377.301999189334
121	Chiapas	Simojovel	Simojovel, Chiapas	15661.603950824388
122	Chiapas	Sitalá	Sitalá, Chiapas	7295.821670871328
123	Chiapas	Socoltenango	Socoltenango, Chiapas	9825.826700049563
124	Chiapas	Solosuchiapa	Solosuchiapa, Chiapas	3965.641249844789
125	Chiapas	Soyaló	Soyaló, Chiapas	3445.351497136265
126	Chiapas	Suchiapa	Suchiapa, Chiapas	20915.144239036767
127	Chiapas	Suchiate	Suchiate, Chiapas	10935.816569628472
128	Chiapas	Sunuapa	Sunuapa, Chiapas	1863.8143716071452
129	Chiapas	Tapachula	Tapachula, Chiapas	94579.26036342993
