	NAME	LABEL	FIPSCODE	municipality	edgar_emission_2015(tons_CO2)
0	Wakefield	City of Wakefield	82780	City of Wakefield-82780	5.842584327231295
1	Buchanan	City of Buchanan	11400	City of Buchanan-11400	1225.5485854817443
2	Ovid	City of Ovid	61860	City of Ovid-61860	222.74259530443905
3	Westland	City of Westland	86000	City of Westland-86000	151549.1470019532
4	Livonia	City of Livonia	49000	City of Livonia-49000	217130.78909256295
5	Watervliet	City of Watervliet	84500	City of Watervliet-84500	153.74368682608474
6	Berkley	City of Berkley	07660	City of Berkley-07660	16390.01789546146
7	East Jordan	City of East Jordan	24020	City of East Jordan-24020	691.5914826374689
8	Hart	City of Hart	36920	City of Hart-36920	294.88580707832733
9	Mackinac Island	City of Mackinac Island	50280	City of Mackinac Island-50280	39.72827666884537
10	Montrose	City of Montrose	55280	City of Montrose-55280	79.38846530191557
11	Standish	City of Standish	76120	City of Standish-76120	45.44639922418273
12	White Cloud	City of White Cloud	86680	City of White Cloud-86680	69.3243110369635
13	Harper Woods	City of Harper Woods	36700	City of Harper Woods-36700	5909.175552607168
14	Battle Creek	City of Battle Creek	05920	City of Battle Creek-05920	64765.00139982427
15	Parchment	City of Parchment	62340	City of Parchment-62340	1326.3199921014007
16	Yale	City of Yale	89000	City of Yale-89000	128.5702330464444
17	Galesburg	City of Galesburg	31260	City of Galesburg-31260	119.6796964031516
18	Williamston	City of Williamston	87420	City of Williamston-87420	132.98130104036278
19	New Baltimore	City of New Baltimore	57100	City of New Baltimore-57100	1014.3457286953201
20	Caro	City of Caro	13420	City of Caro-13420	140.71603249267105
21	Bay City	City of Bay City	06020	City of Bay City-06020	11388.367492959342
22	Hartford	City of Hartford	36960	City of Hartford-36960	291.9818088301046
23	Chelsea	City of Chelsea	15020	City of Chelsea-15020	618.1391098879716
24	Plymouth	City of Plymouth	65060	City of Plymouth-65060	9582.392483598956
25	Memphis	City of Memphis	52960	City of Memphis-52960	69.97531344627882
26	Portage	City of Portage	65560	City of Portage-65560	83066.04199931973
