	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	edgar_emission_2015(tons_CO2)	absolute_percent_error_edgar (percent error)
0	lowell	3948586919.52552	230005.18806236153	34140.878034313515	85.1564748074044
1	beverly			14025.932046138792	
2	gloucester			44820.29933857564	
3	chester			987.0547127857837	
4	winchester			42790.43221720636	
5	millville			10856.279269972169	
6	bridgewater			55434.51039027185	
7	hopedale			8919.730835281454	
8	topsfield			8587.842799897024	
9	boxford			22372.89296491851	
10	walpole			81832.07317310452	
11	berlin			8281.805489316488	
12	sharon			79256.1482691926	
13	lynn	2984576513.6596003	173851.5819206717	60556.693142254015	65.16759153224963
14	norwood			87320.055518068	
15	wales			2262.7416554873225	
16	somerville	2727276761.88348	158863.8713797127	56890.21313031051	64.18933226527456
17	leyden			1792.521949590859	
18	huntington			1873.5840987436864	
19	dudley			16165.40786063976	
20	tolland			708.5945026318639	
21	canton			171711.82185033587	
22	mashpee			25893.491584381743	
23	lynnfield			39564.41079317285	
24	barnstable			83734.13331443645	
25	dover			70580.68982731295	
26	mendon			32713.890020565093	
27	hudson			14698.705713727959	
28	westwood			96633.74561718182	
29	holland			2810.6241435094444	
30	cambridge	6117525771.3886	356345.87618338596	88053.60002725228	75.28985013932437
31	fitchburg			9245.025218701285	
32	leominster			64974.831104975245	
33	lunenburg			11026.230942875674	
34	lexington			106599.41279048703	
35	lanesborough			5947.610318370251	
36	plainfield			569.7564347580644	
37	gosnold			6943.210308464082	
38	peru			683.5728854086606	
39	sherborn			32505.544399260332	
40	middleborough			35025.60307128373	
41	fall river	4091722851.9892	238342.8561283709	30409.891374691993	87.24111480886454
42	holliston			49517.78193160078	
43	greenfield			7515.7136611264905	
44	grafton			33341.59225792065	
45	blackstone			21689.63239183474	
46	medford	2118027826.77872	123375.12090986043	112529.2925824261	8.7909363309629
47	pembroke			23181.311186872375	
48	duxbury			15743.569826097482	
49	boston	34894797090.3156	2032621.9305108835	779662.1753970748	61.64253845273071
50	concord			47418.1789834519	
51	windsor			718.8999326269063	
52	taunton	2869493120.1068	167147.9742462211	78803.58077969572	52.854001889599736
53	wareham			29936.762192758564	
54	north brookfield			4324.58060642463	
55	charlton			55128.513773784856	
56	deerfield			12653.375270311088	
57	conway			18063.865626815492	
58	dalton			2683.9022390551504	
59	wellesley			88443.0421775778	
60	needham			218635.68811465637	
61	petersham			8841.938651009597	
62	reading			22068.265034377768	
63	quincy	4414552367.99764	257147.6754358625	76633.80069967592	70.19852480883505
64	chesterfield			962.1054289894959	
65	randolph			72401.7908533581	
66	sheffield			5411.448339855304	
67	newburyport			12000.837685847304	
68	maynard			8936.119191460919	
69	lancaster			20694.572637084588	
70	dighton			22763.425875407353	
71	athol			2289.9611470794334	
72	cheshire			9051.980234541637	
73	essex			3700.40879184378	
74	ware			4881.316136015508	
75	nantucket			6819.058665556792	
76	tewksbury			73907.7170695683	
77	egremont			2323.528094461937	
78	brookline			135590.07790360725	
79	lenox			34865.61762039639	
80	pittsfield			30958.45566315327	
81	everett	1502313755.0995998	87509.7762345517	43569.509115914756	50.211838047516224
82	tyngsborough			21270.603480390895	
83	malden	2054550594.5770402	119677.57213411259	65138.430744576624	45.57173112470776
84	stoneham			19331.816673296304	
85	northampton			45524.59543462047	
86	braintree			58707.83445432022	
87	scituate			6094.700420615337	
88	nahant			20468.825495534817	
89	wenham			6321.312465216759	
90	bellingham			32071.104643724844	
91	sturbridge			11499.886915931214	
92	belmont			45162.863673104264	
93	west bridgewater			46213.964764723896	
94	carlisle			40613.44374310257	
95	saugus			74670.61057950644	
96	hubbardston			27680.79943737286	
97	fairhaven			8912.666620953798	
98	sandwich			15537.567745458515	
99	marshfield			9783.420539015347	
100	goshen			761.5524463953697	
101	dunstable			70554.39252633494	
102	savoy			1054.5718064458615	
103	arlington			54738.20491326576	
104	hardwick			2606.289210079465	
105	mount washington			1500.8973819704925	
106	ashby			2839.907512811229	
107	hull			656.0888164144128	
108	northborough			35128.91153222301	
109	westfield			107265.60687934092	
110	salem			36107.18007518944	
111	marlborough			44073.17593868941	
112	belchertown			4357.540456083598	
113	freetown			23989.633940207874	
114	florida			483.61810688796413	
115	hadley			23559.325873505353	
116	north adams			2068.9604930413207	
117	mansfield			30779.802844694983	
118	bernardston			2537.3068187137596	
119	dracut			41693.10724681622	
120	shutesbury			3937.7735720523083	
121	franklin			40344.55907788733	
122	westminster			27263.57711687499	
123	revere	1695703499.5297203	98774.72884760621	61034.613400817245	38.208270361355275
124	wrentham			42805.28744530647	
125	avon			16905.30061701723	
126	acushnet			2468.5651308035904	
127	marion			16941.707964029058	
128	burlington			41353.67357599051	
129	hawley			970.1867604972449	
130	lawrence	2892429284.2752004	168484.0058090304	37296.26817950397	77.86361500581977
131	ludlow			6677.794970652901	
132	norfolk			37046.6076182784	
133	whitman			12942.567565907979	
134	clarksburg			1045.7869642347562	
135	paxton			20054.774680638926	
136	southborough			34161.36109665918	
137	milford			38841.82727544902	
138	boylston			16115.030448562025	
139	plainville			18436.116782852718	
140	new bedford	4448970089.1656	259152.5076938962	19104.36285636304	92.62813891852106
141	marblehead			22904.775865522613	
142	longmeadow			45477.25848262719	
143	granville			12128.23116434202	
144	webster			10120.085357262245	
145	southbridge			10070.830936075019	
146	salisbury			12932.998690372826	
147	amherst			3966.5358309246367	
148	aquinnah			294.9053700041436	
149	chilmark			5204.898534681166	
150	chelsea			24763.37132383733	
151	newton	4660847182.7424	271494.3483947448	348574.40289824887	28.3910346418821
152	ipswich			4563.742908140503	
153	cohasset			4315.008138691511	
154	auburn			91660.04345951017	
155	chicopee	2594690088.2692	151140.6976416809	34738.26047450116	77.01594539621789
156	hamilton			8723.28015232413	
157	plymouth			57512.387374515936	
158	barre			6227.525528012364	
159	bolton			11728.361164136208	
160	warwick			2406.8072270680905	
161	falmouth			54106.03800377262	
162	seekonk			15521.23841909365	
163	templeton			17054.777339298595	
164	palmer			12307.976670407106	
165	foxborough			52290.02485539623	
166	peabody	2737360622.66336	159451.25627014073	74224.99218639103	53.4497288245633
167	agawam			115907.36168984059	
168	medfield			38271.43359825811	
169	worcester	8808815783.382	513113.5193820015	92002.9822621257	82.06966318624094
170	swampscott			12899.49901431058	
171	wayland			37923.18841304935	
172	milton			157829.56989954293	
173	adams			5129.409398362708	
174	millis			25013.975900509693	
175	brimfield			7502.5551244822245	
176	ashburnham			5612.673394046546	
177	colrain			2208.3373919463206	
178	northfield			3231.94116975906	
179	plympton			17763.310142653758	
180	berkley			16434.71799327767	
181	kingston			19482.299629803012	
182	montague			3362.0257233792463	
183	west stockbridge			1176.3815555998328	
184	danvers			12035.549835604295	
185	otis			876.2398116915954	
186	becket			966.7641708560171	
187	great barrington			6080.032690270908	
188	rowe			706.3212257007765	
189	middlefield			617.4594219136574	
190	groton			27308.884892115857	
191	truro			1721.7894866374336	
192	winchendon			8580.92010288398	
193	wellfleet			1902.552062963867	
194	amesbury			14551.12952323036	
195	hancock			5682.322372554549	
196	westborough			49732.54364280463	
197	halifax			20948.84942543899	
198	worthington			1020.1500394164474	
199	norwell			15594.963627004377	
200	brewster			9116.536518224837	
201	edgartown			3268.8695274562865	
202	clinton			6089.659894042989	
203	stow			33309.85228063828	
204	attleboro	2670943447.8756	155582.4558387537	53196.67523444085	65.80805017657381
205	harwich			9344.544363301542	
206	stoughton			74781.2122764197	
207	somerset			19835.269938608482	
208	newbury			23261.74743890309	
209	hanover			16420.645347034308	
210	uxbridge			51907.14000163077	
211	groveland			9803.058496344729	
212	millbury			66934.91507250511	
213	pelham			408.81733522046176	
214	wakefield			24142.08747378843	
215	rockland			11053.759292792347	
216	medway			22035.156096018487	
217	west brookfield			4180.519059253132	
218	new salem			16346.24224785205	
219	chatham			7564.46002140746	
220	waltham	4813190787.3292	280368.3633619259	93021.19056192743	66.8217949248978
221	holbrook			27427.843466749993	
222	pepperell			34490.92694868004	
223	gill			1068.2907554331823	
224	dennis			10189.505461550503	
225	leverett			1359.4669019118687	
226	brookfield			7447.583625692463	
227	north attleborough			36615.23026369575	
228	weymouth	4018853656.3473234	234098.2254822316	39634.86467487843	83.06913066374919
229	westhampton			7504.0636871937595	
230	west boylston			10580.391333891685	
231	leicester			113146.4317434425	
232	hinsdale			1343.2875114129872	
233	shrewsbury			19092.943614595784	
234	provincetown			5533.137910901761	
235	upton			26274.194569762814	
236	billerica			74340.58836970555	
237	rochester			11459.127004194952	
238	harvard			24850.379487321483	
239	woburn			39739.3500537959	
240	wilbraham			17908.008539261304	
241	georgetown			6177.765340976115	
242	carver			31936.848243417327	
243	eastham			1911.6349143009709	
244	melrose			31251.64650396366	
245	manchester			5388.557320862824	
246	sutton			50269.08023469799	
247	framingham			52745.56063439665	
248	holyoke			36946.17494362342	
249	new ashford			8813.72235612438	
250	new marlborough			1279.2124072395106	
251	montgomery			2712.6028949461956	
252	andover			115656.86851098092	
253	east brookfield			5330.850918710468	
254	spencer			21318.92101142857	
255	wilmington			54809.36789930148	
256	richmond			16316.24363209835	
257	douglas			29245.488048788193	
258	abington			26039.517689303928	
259	southwick			56848.60512367285	
260	yarmouth			33825.882071028274	
261	alford			1283.3978708640552	
262	springfield	6491995741.15948	378158.7519225397	108886.25119693988	71.20620621805848
263	bedford			48948.40456178941	
264	ashland			29807.217568376305	
265	monroe			200.63989028885194	
266	oakham			4438.550520639456	
267	hanson			17785.219810181432	
268	raynham			40609.92745618706	
269	weston			84294.6931418555	
270	gardner			4938.746753743109	
271	orange			3205.651199593731	
272	dartmouth			211218.56705582596	
273	cummington			636.7072736619024	
274	granby			9674.148163543461	
275	lee			4610.593235667017	
276	sterling			46421.78387778463	
277	warren			8697.197400978688	
278	lakeville			16281.044110135635	
279	royalston			4587.5207341169835	
280	watertown			40941.82427353221	
281	easton			126109.82751138238	
282	east bridgewater			32936.32394265442	
283	natick			77087.3282154319	
284	brockton	3958427610.37752	230578.40830449056	76026.8312726693	67.0277751365722
285	wendell			3933.536205295741	
286	westford			140305.36052942136	
287	north reading			7965.779046056623	
288	tisbury			11123.194642124608	
289	acton			24614.999261619643	
290	middleton			8470.893613085598	
291	tyringham			295.57808542269447	
292	hingham			20421.342500109404	
293	oak bluffs			5898.960220454712	
294	rutland			6094.83143673168	
295	mattapoisett			10647.115470437957	
296	westport			50936.159755292596	
297	charlemont			1642.323290183493	
298	west springfield			82193.55238990979	
299	new braintree			1309.8855577366799	
300	dedham			159188.02898022186	
301	princeton			38531.2838236917	
302	lincoln			46261.40537366699	
303	buckland			2667.3422325733595	
304	hatfield			7286.08857152751	
305	boxborough			11819.013110712756	
306	holden			30257.359824663552	
307	methuen			100594.59230514825	
308	ashfield			3527.039535056396	
309	swansea			36942.638642869075	
310	rehoboth			46851.5859745441	
311	shirley			8546.151009935731	
312	phillipston			10063.977478675817	
313	chelmsford			132974.27068195416	
314	south hadley			26877.291752683235	
315	williamsburg			3173.9990930082504	
316	west newbury			20466.354690387954	
317	littleton			18966.908190936432	
318	haverhill	2739081544.1128	159551.49994457062	36159.1558779113	77.33700034755346
319	heath			637.7706933444772	
320	sudbury			26826.51183317083	
321	rowley			4767.17129824868	
322	whately			7280.190897410265	
323	bourne			22323.641830039836	
324	washington			7886.882085759861	
325	williamstown			16081.955524775396	
326	shelburne			4665.318710204327	
327	east longmeadow			17206.8615785473	
328	southampton			41072.18807674732	
329	monson			9651.079384465325	
330	sandisfield			1091.2600967442722	
331	erving			490.5735915384014	
332	monterey			883.8821862437226	
333	west tisbury			9915.218057655515	
334	townsend			7371.585585593865	
335	winthrop			23367.334810230113	
336	stockbridge			9800.52157994479	
337	orleans			2615.3915944245364	
338	ayer			6080.269408220377	
339	oxford			60917.082303178235	
340	hopkinton			70197.98814117599	
341	russell			4862.6385546225665	
342	merrimac			11629.287311032036	
343	northbridge			27729.994902139013	
344	blandford			2817.7352560531504	
345	easthampton			23060.26044224025	
346	north andover			48873.9942494771	
347	norton			55500.43570163006	
348	hampden			11850.524625737798	
