	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	state	city	edgar_emission_2015(tons_CO2)	absolute_percent_error_edgar (percent error)
0	aguascalientes, aguascalientes	2873000000.0	167869.39	Aguascalientes	Aguascalientes	178541.07849673377	6.3571378300318795
1	asientos, aguascalientes	108450000.0	6336.7335	Aguascalientes	Asientos	23620.91441793403	272.7616826229796
2	calvillo, aguascalientes	150210000.0	8776.7703	Aguascalientes	Calvillo	15284.48864073316	74.14707367621503
3	cosío, aguascalientes			Aguascalientes	Cosío	5480.281913050588	
4	elllano, aguascalientes			Aguascalientes	ElLlano	9198.91676223404	
5	jesúsmaría, aguascalientes	289800000.0	16933.014	Aguascalientes	JesúsMaría	32155.299517506188	89.89708221765002
6	pabellóndearteaga, aguascalientes	115740000.0	6762.6882000000005	Aguascalientes	PabellóndeArteaga	12606.50412079709	86.4126180000002
7	rincónderomos, aguascalientes	133080000.0	7775.8644	Aguascalientes	RincóndeRomos	14048.134898049711	80.66332147008262
8	sanfranciscodelosromo, aguascalientes	100320000.0	5861.6976	Aguascalientes	SanFranciscodelosRomo	7935.950871049574	35.38656226567494
9	sanjosédegracia, aguascalientes			Aguascalientes	SanJosédeGracia	11516.522758099976	
10	tepezalá, aguascalientes			Aguascalientes	Tepezalá	6848.6213902425325	
11	ensenada, bajacalifornia	1613600000.0	94282.648	BajaCalifornia	Ensenada	103546.69879968243	9.825827971741344
12	mexicali, bajacalifornia	3426000000.0	200181.18	BajaCalifornia	Mexicali	423784.62787131954	111.70053442152732
13	playasderosarito, bajacalifornia	306400000.0	17902.952	BajaCalifornia	PlayasdeRosarito	80070.69238201721	347.2485452791093
14	tecate, bajacalifornia	309400000.0	18078.242000000002	BajaCalifornia	Tecate	33798.04515774211	86.95426888157658
15	tijuana, bajacalifornia	5518000000.0	322416.74	BajaCalifornia	Tijuana	570831.3506336882	77.04767768376051
16	lapaz, bajacaliforniasur	963000000.0	56268.090000000004	BajaCaliforniaSur	LaPaz	61523.564546352725	9.340062096212472
17	loreto, bajacaliforniasur			BajaCaliforniaSur	Loreto	5416.149631709357	
18	loscabos, bajacaliforniasur	1027200000.0	60019.296	BajaCaliforniaSur	LosCabos	64586.89377326878	7.610215510139898
19	mulegé, bajacaliforniasur	195240000.0	11407.8732	BajaCaliforniaSur	Mulegé	22493.31224130463	97.1735822002705
20	calkiní, campeche	150210000.0	8776.7703	Campeche	Calkiní	17651.079374724064	101.11132878484999
21	campeche, campeche	983900000.0	57489.277	Campeche	Campeche	57888.17100076557	0.6938580924675208
22	carmen, campeche			Campeche	Carmen	55310.38831267928	
23	champotón, campeche	247670000.0	14471.3581	Campeche	Champotón	31390.07749051588	116.91175958471982
24	escárcega, campeche	169940000.0	9929.5942	Campeche	Escárcega	19361.848550263538	94.9913376144167
25	hecelchakán, campeche			Campeche	Hecelchakán	10198.517286254539	
26	hopelchén, campeche	94290000.0	5509.3647	Campeche	Hopelchén	19185.74722873696	248.23883103503675
27	tenabo, campeche			Campeche	Tenabo	3433.913436191285	
28	berriozábal, chiapas	107710000.0	6293.4953000000005	Chiapas	Berriozábal	12187.077722187767	93.64561569129583
29	cacahoatán, chiapas	111220000.0	6498.5846	Chiapas	Cacahoatán	5522.118221780311	15.025831597540323
30	catazajá, chiapas			Chiapas	Catazajá	7615.747210042984	
31	chamula, chiapas	168990000.0	9874.0857	Chiapas	Chamula	24409.089021178777	147.20353623403105
32	chiapadecorzo, chiapas	245270000.0	14331.1261	Chiapas	ChiapadeCorzo	31039.430276423085	116.58751768587877
33	comitándedomínguez, chiapas	462100000.0	27000.503	Chiapas	ComitándeDomínguez	30216.296177265245	11.91012321979796
34	fronterahidalgo, chiapas			Chiapas	FronteraHidalgo	4868.222504142384	
35	huehuetán, chiapas	91060000.0	5320.6358	Chiapas	Huehuetán	16658.470797035236	213.09173232708835
36	laindependencia, chiapas	100190000.0	5854.1017	Chiapas	LaIndependencia	16782.026764114315	186.67125417575704
37	latrinitaria, chiapas	183110000.0	10699.1173	Chiapas	LaTrinitaria	46136.892975451345	331.2214894162469
38	lasmargaritas, chiapas	225690000.0	13187.0667	Chiapas	LasMargaritas	49099.56588872613	272.3312166816152
39	mazatán, chiapas			Chiapas	Mazatán	20256.52307660079	
40	metapa, chiapas			Chiapas	Metapa	1298.837783075133	
41	palenque, chiapas	305500000.0	17850.365	Chiapas	Palenque	46199.587432402695	158.81592579424955
42	saltodeagua, chiapas	119790000.0	6999.3297	Chiapas	SaltodeAgua	24280.35783632031	246.8954725238948
43	sancristóbaldelascasas, chiapas	570600000.0	33340.158	Chiapas	SanCristóbaldelasCasas	42558.37070243565	27.6489772557036
44	suchiate, chiapas	103340000.0	6038.1562	Chiapas	Suchiate	10935.816569628472	81.11185281408375
45	tapachula, chiapas	1099100000.0	64220.413	Chiapas	Tapachula	94579.26036342993	47.27289337648752
46	tuxtlachico, chiapas	96880000.0	5660.6984	Chiapas	TuxtlaChico	14859.502116407817	162.50298225405925
47	tuxtlagutiérrez, chiapas	1993900000.0	116503.577	Chiapas	TuxtlaGutiérrez	100857.14878932064	13.42999812845177
