	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	NAME	LABEL	FIPSCODE	edgar_emission_2015(tons_CO2)	absolute_percent_error_edgar (percent error)
0	city of wakefield-82780	100920783.190136	5261.00042770179	Wakefield	City of Wakefield	82780	5.842584327231295	99.88894537441078
1	city of buchanan-11400	194089255.489548	10117.872888670137	Buchanan	City of Buchanan	11400	1225.5485854817443	87.88729015508687
2	city of ovid-61860	73184840.646892	3815.1257429224797	Ovid	City of Ovid	61860	222.74259530443905	94.16159229567587
3	city of westland-86000	3730321405.7039995	194461.6548793495	Westland	City of Westland	86000	151549.1470019532	22.067336567726233
4	city of livonia-49000	8996403817.796	468982.5310217054	Livonia	City of Livonia	49000	217130.78909256295	53.70173199851793
5	city of watervliet-84500	76593301.504456	3992.808807427291	Watervliet	City of Watervliet	84500	153.74368682608474	96.14948538131614
6	city of berkley-07660	753652655.61788	39287.91293736008	Berkley	City of Berkley	07660	16390.01789546146	58.28228920789608
7	city of east jordan-24020	148437273.462016	7738.0350655748925	East Jordan	City of East Jordan	24020	691.5914826374689	91.06244057080804
8	city of hart-36920	110085149.148684	5738.738825120897	Hart	City of Hart	36920	294.88580707832733	94.86148758351771
9	city of mackinac island-50280	80558458.698072	4199.512451930494	Mackinac Island	City of Mackinac Island	50280	39.72827666884537	99.05397883388625
10	city of montrose-55280	57305222.174256004	2987.3212319439654	Montrose	City of Montrose	55280	79.38846530191557	97.34248649080654
11	city of standish-76120	111049390.000568	5789.00470072961	Standish	City of Standish	76120	45.44639922418273	99.2149531469813
12	city of white cloud-86680	47884274.043996006	2496.2072059135116	White Cloud	City of White Cloud	86680	69.3243110369635	97.22281424103198
13	city of harper woods-36700	617958669.97066	32214.185465570503	Harper Woods	City of Harper Woods	36700	5909.175552607168	81.65660417233673
14	city of battle creek-05920	55345569.313907996	2885.1645283340235	Battle Creek	City of Battle Creek	05920	64765.00139982427	2144.7593807491257
15	city of battle creek-05920	4371070563.188	227863.90845899042	Battle Creek	City of Battle Creek	05920	64765.00139982427	71.57733234814575
16	city of parchment-62340	85736717.03981999	4469.455059285816	Parchment	City of Parchment	62340	1326.3199921014007	70.32479408544862
17	city of yale-89000	84579867.475644	4409.1484915053215	Yale	City of Yale	89000	128.5702330464444	97.08401217844786
18	city of galesburg-31260	127223974.720568	6632.1858021832095	Galesburg	City of Galesburg	31260	119.6796964031516	98.19547129750565
19	city of williamston-87420	181255207.54114	9448.833969119627	Williamston	City of Williamston	87420	132.98130104036278	98.59261680885739
20	city of new baltimore-57100	511519932.90836006	26665.534102512807	New Baltimore	City of New Baltimore	57100	1014.3457286953201	96.19604195889805
21	city of caro-13420	248828835.324324	12971.44718545701	Caro	City of Caro	13420	140.71603249267105	98.91518632824227
22	city of bay city-06020	2075711937.6345599	108206.8633088896	Bay City	City of Bay City	06020	11388.367492959342	89.47537416323597
23	city of hartford-36960	110332887.255064	5751.653412606486	Hartford	City of Hartford	36960	291.9818088301046	94.92351524189309
24	city of chelsea-15020	354954663.5304	18503.78660983975	Chelsea	City of Chelsea	15020	618.1391098879716	96.6593912753011
25	city of plymouth-65060	878180467.12164	45779.54775105109	Plymouth	City of Plymouth	65060	9582.392483598956	79.06839854402243
26	city of memphis-52960	47617216.66069201	2482.2855045218744	Memphis	City of Memphis	52960	69.97531344627882	97.18101268694484
27	city of portage-65560	4389239025.6632805	228811.0304078268	Portage	City of Portage	65560	83066.04199931973	63.69666189114005
28	city of traverse city-80340	1214850694.1621602	63330.16668667341	Traverse City	City of Traverse City	80340	3534.4903479089517	94.41894671555836
29	city of adrian-00440	1158577995.68104	60396.67091485261	Adrian	City of Adrian	00440	4408.97880536428	92.69996385797478
30	city of royal oak-70040	3434431078.06628	179036.89209959516	Royal Oak	City of Royal Oak	70040	79660.2358832999	55.506245138020894
31	city of frankfort-30260	105959497.211584	5523.668589639874	Frankfort	City of Frankfort	30260	566.4471661958322	89.74509138259573
32	city of crystal falls-19140	77550329.43726799	4042.69867356478	Crystal Falls	City of Crystal Falls	19140	11.501397699505098	99.71550197953874
33	city of essexville-26420	156838851.346304	8176.009320682827	Essexville	City of Essexville	26420	328.8689452821485	95.97763490251646
34	city of walker-82960	2723882016.41128	141995.96951552003	Walker	City of Walker	82960	60786.7050430467	57.19124616674224
35	city of center line-14320	515525793.65791994	26874.359623387365	Center Line	City of Center Line	14320	13357.972530399511	50.2947317904656
36	city of hazel park-37420	776126717.50428	40459.485783498116	Hazel Park	City of Hazel Park	37420	20562.452703711333	49.17767167446805
37	city of harrisville-36860	28115241.5380556	1465.6475413788382	Harrisville	City of Harrisville	36860	2.6083498297062104	99.82203430524284
38	city of wayland-84880	192808664.11128	10051.115660121026	Wayland	City of Wayland	84880	569.6916248129893	94.33205582268536
39	city of iron river-40980	207225737.08258802	10802.677674115313	Iron River	City of Iron River	40980	108.05313418062542	98.9997560101276
40	city of brighton-10620	674282472.1187601	35150.34527155096	Brighton	City of Brighton	10620	5399.924222735269	84.63763533183352
41	city of potterville-66100	103736737.59448399	5407.79613080045	Potterville	City of Potterville	66100	1181.1434899457113	78.15850558384712
42	city of dearborn heights-21020	2222011375.36208	115833.45299762522	Dearborn Heights	City of Dearborn Heights	21020	98277.40915752068	15.156281182832792
43	city of clio-16620	107728860.839932	5615.905515585655	Clio	City of Clio	16620	99.32264202832908	98.23140468170838
44	city of wayne-84940	1448106145.08392	75489.77334322475	Wayne	City of Wayne	84940	44650.98384722257	40.851612251886536
45	city of grand rapids-34000	13344443935.5928	695645.8623624527	Grand Rapids	City of Grand Rapids	34000	133280.81602090716	80.84070886754391
46	city of au gres-04120	50904943.518488	2653.674705618779	Au Gres	City of Au Gres	04120	167.14580491601112	93.70134536225922
47	city of fenton-27760	671979427.57964	35030.28755972663	Fenton	City of Fenton	27760	3506.3042370202643	89.99064957419486
48	city of harbor beach-36460	123251859.08607599	6425.119414157141	Harbor Beach	City of Harbor Beach	36460	95.54400821181657	98.51296136222317
49	city of grand blanc-33280	345090106.288948	17989.547240842858	Grand Blanc	City of Grand Blanc	33280	2298.0584860750682	87.22559019796988
50	city of houghton-39360	356250444.1814	18571.335655176383	Houghton	City of Houghton	39360	2488.5513167625154	86.60004125191242
51	city of hudson-39720	167491786.045784	8731.346806566718	Hudson	City of Hudson	39720	129.37800175004767	98.5182354496245
52	city of sandusky-71540	194984883.921428	10164.561998824041	Sandusky	City of Sandusky	71540	61.655063176799025	99.3934311858796
53	city of holland-38640	3472151473.3156	181003.2563039422	Holland	City of Holland	38640	21829.478110448494	87.93973182792234
54	city of flushing-29200	328728240.151272	17136.603159085807	Flushing	City of Flushing	29200	2668.4211698432887	84.42852912522227
55	city of mt clemens-55820	1288663342.4230402	67178.02004051307	Mt Clemens	City of Mt Clemens	55820	11283.85761154857	83.20305122904246
56	city of lansing-46000	7212150455.2456	375969.4032319531	Lansing	City of Lansing	46000	135576.54114437665	63.939474867125526
57	city of huntington woods-40000	233085931.4924012	12150.769608698874	Huntington Woods	City of Huntington Woods	40000	9389.71963159077	22.72325182704014
58	city of wyoming-88940	4970086581.3328	259090.61348487885	Wyoming	City of Wyoming	88940	207619.62513310532	19.866018170039766
59	city of taylor-79000	3759027905.13	195958.1246944269	Taylor	City of Taylor	79000	166692.39520947012	14.93468542352768
60	city of luna pier-49700	54984259.93901364	2866.3294706207807	Luna Pier	City of Luna Pier	49700	396.60105466313314	86.163451943393
61	city of wyandotte-88900	1798303577.81432	93745.5655114605	Wyandotte	City of Wyandotte	88900	31381.664622046734	66.5246409781268
62	city of harrison-36800	98064813.56387599	5112.118731084855	Harrison	City of Harrison	36800	344.3647957066093	93.26375591371425
63	city of belding-06900	305591098.66664	15930.463973491942	Belding	City of Belding	06900	667.3319339851537	95.81096988075436
64	city of petoskey-63820	482825406.3866	25169.688434933458	Petoskey	City of Petoskey	63820	1447.7862872408894	94.2478974621256
65	city of benton harbor-07520	680726207.6666	35486.25720565986	Benton Harbor	City of Benton Harbor	07520	4289.376055383965	87.91257125110441
66	city of ann arbor-03000	6546301257.8716	341258.6845728465	Ann Arbor	City of Ann Arbor	03000	29237.588655793006	91.43242649124382
67	city of algonac-01180	183329069.81621602	9556.944409519341	Algonac	City of Algonac	01180	186.2173913312084	98.05149655212261
68	city of river rouge-68760	390981670.69156003	20381.874493151023	River Rouge	City of River Rouge	68760	28946.732511746155	42.02193483957133
69	city of gladstone-32300	241887228.98287597	12609.581246877324	Gladstone	City of Gladstone	32300	321.94500900591737	97.44682235910376
70	city of durand-23500	155250932.884624	8093.231131275449	Durand	City of Durand	23500	686.0740935128598	91.52286543675248
71	city of kingsford-43300	326850937.21503997	17038.739357020033	Kingsford	City of Kingsford	43300	2356.6036693067167	86.16914303383727
72	city of southgate-74960	1537958547.8056402	80173.77909710802	Southgate	City of Southgate	74960	37221.21496851036	53.57432892937813
73	city of zeeland-89260	733751298.78892	38250.4552058664	Zeeland	City of Zeeland	89260	771.8047072642723	97.98223392869347
74	city of boyne city-09820	270515537.66548	14101.974978501472	Boyne City	City of Boyne City	09820	188.31985607037177	98.66458523463936
75	city of richmond-68380	259238925.35620397	13514.125178818913	Richmond	City of Richmond	68380	857.6403936463679	93.65374833888195
76	city of manistique-50760	158265332.25227198	8250.371770310938	Manistique	City of Manistique	50760	428.9496897128169	94.80084411157813
77	city of big rapids-08300	594328371.7535601	30982.338019513085	Big Rapids	City of Big Rapids	08300	1495.9915224444196	95.17146988228511
78	city of roseville-69800	3266974009.12432	170307.3550956508	Roseville	City of Roseville	69800	54726.668512164135	67.86593950600216
79	city of springfield-75700	413969914.834168	21580.251660305177	Springfield	City of Springfield	75700	6023.581395652718	72.08752942055571
80	city of gobles-32640	29116586.996403202	1517.8476801224988	Gobles	City of Gobles	32640	55.11223681817319	96.36905352625863
81	city of grant-34360	30787783.174316	1604.967136877093	Grant	City of Grant	34360	59.64007897548526	96.28403114274778
82	city of grayling-34640	113093023.931292	5895.539337538252	Grayling	City of Grayling	34640	35.01000340353099	99.40616114321188
83	city of new buffalo-57220	154672163.93552	8063.059905958657	New Buffalo	City of New Buffalo	57220	405.66583966471774	94.96883510235452
84	city of saugatuck-71700	76578187.33228	3992.020905631756	Saugatuck	City of Saugatuck	71700	4856.268604367014	21.649378076052102
85	city of auburn-04080	114803995.87303199	5984.732304861157	Auburn	City of Auburn	04080	288.150087458087	95.18524684514236
86	city of village of clarkston-82450			Village of Clarkston	City of Village of Clarkston	82450	890.7380948479968	
87	city of east lansing-24120	1467712101.80968	76511.83186733861	East Lansing	City of East Lansing	24120	30147.009808355986	60.59823811220869
88	city of reed city-67820	185764700.23476	9683.913823238037	Reed City	City of Reed City	67820	33.707714531413146	99.65192054424807
89	city of muskegon-56320	2442379355.18816	127321.23578595876	Muskegon	City of Muskegon	56320	42431.105405423514	66.67397614899454
90	city of ecorse-24740	889532575.1912401	46371.33314471934	Ecorse	City of Ecorse	24740	24842.315301812967	46.42742915265538
91	city of st johns-70940	983142232.8764955	51251.204599851706	St Johns	City of St Johns	70940	773.4514148307848	98.49086197901185
92	city of auburn hills-04105	4519580266.24296	235605.7192792455	Auburn Hills	City of Auburn Hills	04105	34262.82733405638	85.45755704111441
93	city of fraser-30420	1592230485.1911602	83002.97519301518	Fraser	City of Fraser	30420	24835.236499762148	70.0791008490837
94	city of scottville-72080	47289448.110488	2465.198929999739	Scottville	City of Scottville	72080	86.71677724144637	96.48236188219279
95	city of pontiac-65440	3080779078.5272	160601.01336362294	Pontiac	City of Pontiac	65440	59577.838218399746	62.903199070414786
96	city of grosse pointe farms-35520	458312019.951308	23891.805600061685	Grosse Pointe Farms	City of Grosse Pointe Farms	35520	5819.894771014196	75.64062395100365
97	city of garden city-31420	1142147517.12336	59540.15006764075	Garden City	City of Garden City	31420	45213.6839088218	24.06185765830844
98	city of bronson-10860	112466084.02897601	5862.856960430519	Bronson	City of Bronson	10860	33.69967731749649	99.42520041773247
99	city of mt pleasant-56020	1304319256.12736	67994.16282191928	Mt Pleasant	City of Mt Pleasant	56020	5976.532648550719	91.2102268775577
100	city of stanton-76220	45996666.5208536	2397.806225732098	Stanton	City of Stanton	76220	69.25853342517536	97.1115875552442
101	city of wixom-88140	1841688805.19976	96007.23741506349	Wixom	City of Wixom	88140	34259.81211362492	64.31538596875659
