	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
0	LOWELL	3262520.851308308	78300.50043139938
1	BEVERLY	414051.64369567565	9937.239448696215
2	GLOUCESTER	1481320.0091687026	35551.68022004886
3	CHESTER	369976.8176866017	8879.443624478441
4	WINCHESTER	2072384.5962766188	49737.23031063885
5	MILLVILLE	2486109.29112498	59666.62298699952
6	BRIDGEWATER	1574442.707590505	37786.624982172114
7	HOPEDALE	461687.63542407757	11080.503250177862
8	TOPSFIELD	516475.3250353388	12395.407800848132
9	BOXFORD	1183750.0162094573	28410.000389026976
10	WALPOLE	2052766.0357533693	49266.38485808086
11	BERLIN	775334.4392761632	18608.026542627915
12	SHARON	2112217.776195327	50693.226628687844
13	LYNN	317613.3238485401	7622.7197723649615
14	NORWOOD	1365715.621794755	32777.174923074126
15	WALES	153351.32838166918	3680.4318811600606
16	SOMERVILLE	7539491.956387462	180947.8069532991
17	LEYDEN	211611.99681143212	5078.687923474371
18	HUNTINGTON	262631.725967502	6303.161423220048
19	DUDLEY	646059.4207824043	15505.426098777702
20	TOLLAND	313102.0796483696	7514.44991156087
21	CANTON	2721213.1992935073	65309.11678304418
22	MASHPEE	814787.8468502923	19554.908324407013
23	LYNNFIELD	1160887.176282907	27861.292230789764
24	BARNSTABLE	3993292.3596037608	95839.01663049025
25	DOVER	1467887.6681014493	35229.30403443478
26	MENDON	6426163.287939114	154227.91891053872
27	HUDSON	1270948.106452607	30502.75455486257
28	WESTWOOD	1726759.342157328	41442.22421177587
29	HOLLAND	220881.76141666275	5301.162273999907
30	CAMBRIDGE	19718152.60352755	473235.6624846612
31	FITCHBURG	1582584.20278193	37982.02086676632
32	LEOMINSTER	2829638.7208844097	67911.32930122584
33	LUNENBURG	1773751.9108931448	42570.04586143547
34	LEXINGTON	2661731.466447559	63881.55519474142
35	LANESBOROUGH	412428.4803856992	9898.28352925678
36	PLAINFIELD	173891.30760089215	4173.391382421411
37	GOSNOLD	63741.18551302722	1529.7884523126534
38	PERU	223637.7396863844	5367.305752473226
39	SHERBORN	1251474.8480769333	30035.3963538464
40	MIDDLEBOROUGH	2035077.89697737	48841.86952745688
41	FALL RIVER	19591661.844996393	470199.88427991344
42	HOLLISTON	7054635.868690921	169311.26084858208
43	GREENFIELD	594788.6957628463	14274.928698308311
44	GRAFTON	2081607.133372899	49958.57120094957
45	BLACKSTONE	5624148.641510658	134979.5673962558
46	MEDFORD	3273732.034260973	78569.56882226335
47	PEMBROKE	1167756.7231186333	28026.1613548472
48	DUXBURY	968235.4784755672	23237.651483413614
49	BOSTON	56006897.23228618	1344165.5335748682
50	CONCORD	1191685.4716575798	28600.451319781914
51	WINDSOR	317561.065621774	7621.465574922577
52	TAUNTON	3230847.6414742465	77540.34339538192
53	WAREHAM	2108683.5796070895	50608.405910570145
54	NORTH BROOKFIELD	517270.9973068423	12414.503935364215
55	CHARLTON	6498276.691290723	155958.64059097736
56	DEERFIELD	947526.6870915742	22740.64049019778
57	CONWAY	688637.7938629698	16527.307052711276
58	DALTON	396328.46338922455	9511.883121341389
59	WELLESLEY	1889332.25262771	45343.97406306504
60	NEEDHAM	1675389.7733880964	40209.354561314314
61	PETERSHAM	861429.8122912338	20674.315494989612
62	READING	1307201.674372451	31372.84018493882
63	QUINCY	4604824.032503617	110515.77678008682
64	CHESTERFIELD	286339.3047157883	6872.143313178919
65	RANDOLPH	1713327.8226380565	41119.867743313356
66	SHEFFIELD	3011973.609404543	72287.36662570902
67	NEWBURYPORT	584980.7490226426	14039.537976543423
68	MAYNARD	429155.70311113884	10299.736874667331
69	LANCASTER	1416545.154439744	33997.08370655386
70	DIGHTON	5123786.717388465	122970.88121732316
71	ATHOL	761519.6409315801	18276.471382357922
72	CHESHIRE	249815.9616717953	5995.583080123088
73	ESSEX	122282.03020247241	2934.768724859338
74	WARE	724789.711625965	17394.95307902316
75	NANTUCKET	886236.3664411315	21269.672794587153
76	TEWKSBURY	2499321.4252592865	59983.714206222874
77	EGREMONT	241359.65374117234	5792.631689788137
78	BROOKLINE	24169867.81792952	580076.8276303085
79	LENOX	593420.5906170461	14242.094174809106
80	PITTSFIELD	2786715.6522335857	66881.17565360606
81	EVERETT	1956558.9560356168	46957.414944854805
82	TYNGSBOROUGH	1787135.4600064345	42891.25104015443
83	MALDEN	2195768.677775853	52698.44826662047
84	STONEHAM	2367159.0637282026	56811.817529476866
85	NORTHAMPTON	2301186.77336417	55228.482560740085
86	BRAINTREE	2290817.703016453	54979.624872394874
87	SCITUATE	491712.478654527	11801.099487708647
88	NAHANT	9763.915693233697	234.3339766376087
89	WENHAM	369623.14441384113	8870.955465932188
90	BELLINGHAM	5516769.37868185	132402.4650883644
91	STURBRIDGE	9493026.23227763	227832.6295746631
92	BELMONT	11102908.747793349	266469.8099470404
93	WEST BRIDGEWATER	2191598.516026966	52598.364384647175
94	CARLISLE	929955.5349232069	22318.932838156965
95	SAUGUS	3679492.9969914085	88307.8319277938
96	HUBBARDSTON	1005775.5953080608	24138.61428739346
97	FAIRHAVEN	865296.9638051337	20767.12713132321
98	SANDWICH	2366232.5675298185	56789.581620715646
99	MARSHFIELD	926910.9094334522	22245.861826402852
100	GOSHEN	194248.31454839854	4661.959549161565
101	DUNSTABLE	698656.0649797145	16767.745559513147
102	SAVOY	328895.44301489665	7893.490632357519
103	ARLINGTON	1870292.0452616273	44887.00908627906
104	HARDWICK	541915.7122492536	13005.977093982088
105	MOUNT WASHINGTON	177984.02403010218	4271.616576722452
106	ASHBY	370610.5087227823	8894.652209346776
107	HULL	320810.14895539667	7699.443574929521
108	NORTHBOROUGH	1123038.2085871613	26952.91700609187
109	WESTFIELD	4008784.482816568	96210.82758759764
110	SALEM	805518.0639122749	19332.4335338946
111	MARLBOROUGH	2460094.5418801676	59042.26900512402
112	BELCHERTOWN	959796.7749828228	23035.122599587747
113	FREETOWN	2386191.057954314	57268.58539090354
114	FLORIDA	234451.46896092064	5626.835255062096
115	HADLEY	1601710.80319692	38441.05927672608
116	NORTH ADAMS	458146.89373091335	10995.525449541921
117	MANSFIELD	1513746.2611193226	36329.91026686374
118	BERNARDSTON	653209.6861931869	15677.032468636487
119	DRACUT	3814211.940823699	91541.08657976877
120	SHUTESBURY	270269.8716848266	6486.476920435838
121	FRANKLIN	5933366.357671279	142400.79258411072
122	WESTMINSTER	1716373.342238138	41192.96021371531
123	REVERE	1780708.1366844682	42736.99528042724
124	WRENTHAM	1864897.9100618134	44757.54984148352
125	AVON	683533.7893934071	16404.810945441768
126	ACUSHNET	1156883.8655891262	27765.212774139032
127	MARION	516868.1733665978	12404.836160798346
128	BURLINGTON	2076239.0443448531	49829.73706427647
129	HAWLEY	237144.89215361176	5691.477411686682
130	LAWRENCE	1361152.9692967492	32667.67126312198
131	LUDLOW	2316355.4818063597	55592.531563352626
132	NORFOLK	1017036.0466804609	24408.865120331066
133	WHITMAN	599604.0553591514	14390.497328619635
134	CLARKSBURG	141944.84729849137	3406.6763351637924
135	PAXTON	654175.3295564413	15700.207909354589
136	SOUTHBOROUGH	1379887.1457302512	33117.29149752603
137	MILFORD	2962677.575610619	71104.26181465486
138	BOYLSTON	1147568.5657791798	27541.645578700314
139	PLAINVILLE	877468.9782005514	21059.255476813236
140	NEW BEDFORD	3999458.749700465	95987.00999281116
141	MARBLEHEAD	193702.47021107978	4648.859285065914
142	LONGMEADOW	1819145.6778588116	43659.496268611474
143	GRANVILLE	473498.97773398506	11363.975465615642
144	WEBSTER	719671.3386894786	17272.112128547487
145	SOUTHBRIDGE	1368589.0172705879	32846.13641449411
146	SALISBURY	1235838.559037888	29660.12541690931
147	AMHERST	1202870.773002642	28868.898552063405
148	AQUINNAH	42392.19382489681	1017.4126517975234
149	CHILMARK	282922.4921398277	6790.139811355864
150	CHELSEA	1873058.2294188745	44953.397506052985
151	NEWTON	27316740.40678788	655601.7697629092
152	IPSWICH	1047081.9973294642	25129.96793590714
153	COHASSET	569678.9567385342	13672.29496172482
154	AUBURN	2179013.442578576	52296.32262188582
155	CHICOPEE	5470107.309465204	131282.5754271649
156	HAMILTON	600716.2482939844	14417.189959055626
157	PLYMOUTH	4748059.065644191	113953.41757546058
158	BARRE	774391.7282895483	18585.40147894916
159	BOLTON	872894.6553453614	20949.471728288674
160	WARWICK	291559.23528484564	6997.421646836296
161	FALMOUTH	1190139.379370511	28563.345104892265
162	SEEKONK	3602650.2964088097	86463.60711381143
163	TEMPLETON	1043120.8778592199	25034.90106862128
164	PALMER	958561.9325386743	23005.486380928185
165	FOXBOROUGH	1883243.0932518898	45197.834238045354
166	PEABODY	3139818.279753773	75355.63871409056
167	AGAWAM	6278282.734829296	150678.78563590313
168	MEDFIELD	1183207.3793344484	28396.977104026762
169	WORCESTER	7472075.662514708	179329.815900353
170	SWAMPSCOTT	99983.3805836187	2399.6011340068485
171	WAYLAND	1426240.2640795663	34229.7663379096
172	MILTON	4353000.141963074	104472.00340711378
173	ADAMS	572332.1157058872	13735.970776941293
174	MILLIS	849208.6459094243	20381.00750182618
175	BRIMFIELD	785643.1424070809	18855.43541776994
176	ASHBURNHAM	614025.0092803328	14736.600222727988
177	COLRAIN	486320.17671661684	11671.684241198804
178	NORTHFIELD	453654.5928761261	10887.710229027027
179	PLYMPTON	504055.496902978	12097.331925671471
180	BERKLEY	2106910.3258204022	50565.847819689654
181	KINGSTON	1071006.3907822163	25704.15337877319
182	MONTAGUE	617437.0044961101	14818.488107906644
183	WEST STOCKBRIDGE	319840.90382751485	7676.181691860356
184	DANVERS	2756063.6672468893	66145.52801392534
185	OTIS	555946.2852147416	13342.710845153797
186	BECKET	659489.1737928415	15827.740171028197
187	GREAT BARRINGTON	2347271.7766763386	56334.52264023213
188	ROWE	200129.9765983074	4803.119438359377
189	MIDDLEFIELD	126653.21142967747	3039.6770743122593
190	GROTON	1132138.382470463	27171.32117929111
191	TRURO	159194.82351149662	3820.675764275919
192	WINCHENDON	938463.8628968837	22523.13270952521
193	WELLFLEET	267704.0562024134	6424.897348857921
194	AMESBURY	929052.1134890486	22297.250723737165
195	HANCOCK	335805.3306690173	8059.327936056415
196	WESTBOROUGH	1369290.7863468793	32862.978872325104
197	HALIFAX	513926.94653177925	12334.246716762704
198	WORTHINGTON	291460.01462540665	6995.04035100976
199	NORWELL	1186261.4072687463	28470.27377444991
200	BREWSTER	1174008.8819027813	28176.21316566675
201	EDGARTOWN	444770.05547637003	10674.48133143288
202	CLINTON	287765.349215182	6906.368381164369
203	STOW	937450.5208472878	22498.81250033491
204	ATTLEBORO	2610992.190636208	62663.81257526898
205	HARWICH	456589.93483797763	10958.158436111464
206	STOUGHTON	2032991.8841709092	48791.80522010182
207	SOMERSET	13265253.535831243	318366.0848599498
208	NEWBURY	654137.7811963625	15699.3067487127
209	HANOVER	921066.4447865129	22105.59467487631
210	UXBRIDGE	7103889.978145926	170493.35947550222
211	GROVELAND	709946.4615280953	17038.715076674285
212	MILLBURY	1794263.1345301988	43062.31522872477
213	PELHAM	375419.76865443704	9010.074447706489
214	WAKEFIELD	1777766.9850579049	42666.40764138971
215	ROCKLAND	1044525.4800025686	25068.611520061644
216	MEDWAY	6107677.27258672	146584.2545420813
217	WEST BROOKFIELD	440929.23442116927	10582.301626108061
218	NEW SALEM	692653.2064015901	16623.67695363816
219	CHATHAM	475793.1648194018	11419.035955665644
220	WALTHAM	3756760.345269049	90162.24828645718
221	HOLBROOK	1062285.4119759025	25494.84988742166
222	PEPPERELL	575985.535076427	13823.65284183425
223	GILL	377471.2817131787	9059.310761116289
224	DENNIS	531720.2420242388	12761.285808581732
225	LEVERETT	357537.89580217446	8580.909499252188
226	BROOKFIELD	2373612.7288512583	56966.70549243019
227	NORTH ATTLEBOROUGH	2218946.9824394174	53254.727578546015
228	WEYMOUTH	1204102.7416497683	28898.46579959444
229	WESTHAMPTON	340348.4308895202	8168.362341348485
230	WEST BOYLSTON	967979.1336791662	23231.49920829999
231	LEICESTER	2203594.4263594924	52886.266232627815
232	HINSDALE	344849.96338561684	8276.399121254804
233	SHREWSBURY	2930135.448407093	70323.25076177024
234	PROVINCETOWN	5832.464617728517	139.9791508254844
235	UPTON	1486255.9604695723	35670.14305126974
236	BILLERICA	3295259.7056178614	79086.23293482867
237	ROCHESTER	587330.2922683858	14095.927014441259
238	HARVARD	1173712.0150276832	28169.0883606644
239	WOBURN	3537894.966927192	84909.47920625261
240	WILBRAHAM	1752013.7372634676	42048.32969432323
241	GEORGETOWN	671397.1938706061	16113.532652894548
242	CARVER	1066115.0240144902	25586.760576347766
243	EASTHAM	346406.83768630103	8313.764104471225
244	MELROSE	2067020.7390469625	49608.497737127094
245	MANCHESTER	107693.38295523499	2584.64119092564
246	SUTTON	1468086.6841751672	35234.080420204016
247	FRAMINGHAM	2575694.1058328254	61816.65853998781
248	HOLYOKE	4441089.0553572	106586.1373285728
249	NEW ASHFORD	188734.013622951	4529.616326950824
250	NEW MARLBOROUGH	495196.30090936564	11884.711221824777
251	MONTGOMERY	307462.63067318546	7379.103136156451
252	ANDOVER	4451414.485178733	106833.9476442896
253	EAST BROOKFIELD	2793782.4487414546	67050.77876979491
254	SPENCER	1529197.3984310117	36700.737562344286
255	WILMINGTON	2452611.463932318	58862.67513437563
256	RICHMOND	321409.8801931287	7713.837124635089
257	DOUGLAS	1698482.4814028013	40763.57955366723
258	ABINGTON	1195022.4935724768	28680.539845739444
259	SOUTHWICK	791712.6732365628	19001.104157677506
260	YARMOUTH	1513192.1400236653	36316.611360567964
261	ALFORD	89851.02863695928	2156.4246872870226
262	SPRINGFIELD	7384629.917002057	177231.11800804938
263	BEDFORD	1721487.128689806	41315.691088555344
264	ASHLAND	1459975.8050946868	35039.41932227248
265	MONROE	73119.98475045225	1754.879634010854
266	OAKHAM	335643.46590734395	8055.443181776255
267	HANSON	783174.9105777707	18796.197853866495
268	RAYNHAM	1401657.6300007938	33639.78312001905
269	WESTON	3125970.8491823496	75023.3003803764
270	GARDNER	836690.0419482612	20080.561006758267
271	ORANGE	568499.3204167341	13643.983690001618
272	DARTMOUTH	4817951.211707969	115630.82908099127
273	CUMMINGTON	294795.5581867787	7075.093396482688
274	GRANBY	985401.1710533944	23649.628105281467
275	LEE	490574.23250160867	11773.781580038607
276	STERLING	1277097.956523916	30650.350956573984
277	WARREN	658520.4950166068	15804.491880398562
278	LAKEVILLE	1290569.1345724433	30973.659229738638
279	ROYALSTON	335497.9835147271	8051.95160435345
280	WATERTOWN	13257009.53749712	318168.2288999309
281	EASTON	2587282.807300424	62094.78737521018
282	EAST BRIDGEWATER	1480496.1647723508	35531.90795453642
283	NATICK	1164686.8271589256	27952.483851814213
284	BROCKTON	3189271.7631735303	76542.52231616473
285	WENDELL	447368.68013839016	10736.848323321365
286	WESTFORD	1792967.8814860655	43031.22915566557
287	NORTH READING	1558470.4006914056	37403.289616593735
288	TISBURY	199850.0216022156	4796.400518453174
289	ACTON	1503745.983123976	36089.903594975425
290	MIDDLETON	1017462.2319852633	24419.093567646316
291	TYRINGHAM	325930.7613958711	7822.338273500906
292	HINGHAM	1371231.281066813	32909.55074560351
293	ROCKPORT	709337.9856849299	17024.111656438316
294	OAK BLUFFS	43409.53678112367	1041.8288827469682
295	RUTLAND	882546.7412399747	21181.121789759392
296	MATTAPOISETT	636612.5721385762	15278.701731325827
297	WESTPORT	5878598.773010092	141086.3705522422
298	CHARLEMONT	276565.8334111123	6637.580001866695
299	WEST SPRINGFIELD	3498820.960627539	83971.70305506093
300	NEW BRAINTREE	360851.9840514095	8660.447617233827
301	DEDHAM	2654784.231451277	63714.821554830654
302	PRINCETON	766032.4731331577	18384.779355195784
303	LINCOLN	1221774.9288816773	29322.598293160256
304	BUCKLAND	209788.27679867265	5034.918643168144
305	HATFIELD	922420.3398680896	22138.08815683415
306	BOXBOROUGH	487887.4805182208	11709.299532437299
307	HOLDEN	2429228.729755894	58301.48951414145
308	METHUEN	3771025.7562972936	90504.61815113504
309	ASHFIELD	386413.1213880235	9273.914913312563
310	SWANSEA	15495522.701075248	371892.54482580593
311	REHOBOTH	2468566.903327293	59245.605679855034
312	SHIRLEY	566380.618057372	13593.13483337693
313	PHILLIPSTON	459359.3021972784	11024.623252734682
314	CHELMSFORD	3451837.3835656573	82844.09720557577
315	SOUTH HADLEY	1323513.0042161322	31764.312101187174
316	WILLIAMSBURG	474534.1049565274	11388.818518956657
317	WEST NEWBURY	736505.4640953958	17676.131138289496
318	LITTLETON	964963.4198883553	23159.122077320528
319	HAVERHILL	3837395.116609167	92097.48279862
320	HEATH	250387.73638373968	6009.305673209753
321	SUDBURY	2091623.5675843877	50198.9656220253
322	ROWLEY	536359.9709018752	12872.639301645004
323	WHATELY	493681.77637938556	11848.362633105255
324	BOURNE	2268739.639067838	54449.75133762811
325	WASHINGTON	358913.8087753356	8613.931410608055
326	WILLIAMSTOWN	666288.715103806	15990.929162491344
327	SHELBURNE	467314.47810387897	11215.547474493096
328	EAST LONGMEADOW	1431130.3330704228	34347.12799369015
329	SOUTHAMPTON	1326257.600506478	31830.18241215547
330	MONSON	1004320.999089512	24103.70397814829
331	SANDISFIELD	442611.42036641727	10622.674088794016
332	ERVING	139901.83370768037	3357.644008984329
333	MONTEREY	333714.9921855972	8009.1598124543325
334	WEST TISBURY	411838.5420436045	9884.125009046507
335	TOWNSEND	676513.876939726	16236.333046553422
