	state	city	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
0	Aguascalientes	Aguascalientes	Aguascalientes, Aguascalientes	18636453.118208386	447274.87483700126
1	Aguascalientes	Asientos	Asientos, Aguascalientes	1024835.1036085216	24596.042486604518
2	Aguascalientes	Calvillo	Calvillo, Aguascalientes	1398371.408726505	33560.91380943612
3	Aguascalientes	Cosío	Cosío, Aguascalientes	615008.8244246263	14760.211786191032
4	Aguascalientes	ElLlano	ElLlano, Aguascalientes	611543.8525254328	14677.052460610388
5	Aguascalientes	JesúsMaría	JesúsMaría, Aguascalientes	3514487.4413222675	84347.69859173443
6	Aguascalientes	PabellóndeArteaga	PabellóndeArteaga, Aguascalientes	1282856.6066884818	30788.55856052356
7	Aguascalientes	RincóndeRomos	RincóndeRomos, Aguascalientes	1479444.9999101541	35506.6799978437
8	Aguascalientes	SanFranciscodelosRomo	SanFranciscodelosRomo, Aguascalientes	2057190.0311792616	49372.56074830228
9	Aguascalientes	SanJosédeGracia	SanJosédeGracia, Aguascalientes	479692.7442788448	11512.625862692274
10	Aguascalientes	Tepezalá	Tepezalá, Aguascalientes	716003.8957180997	17184.093497234393
11	BajaCalifornia	Ensenada	Ensenada, BajaCalifornia	25381670.67920574	609160.0963009378
12	BajaCalifornia	Mexicali	Mexicali, BajaCalifornia	93753953.75030169	2250094.89000724
13	BajaCalifornia	PlayasdeRosarito	PlayasdeRosarito, BajaCalifornia	62401168.79381354	1497628.0510515252
14	BajaCalifornia	Tecate	Tecate, BajaCalifornia	7645265.842367766	183486.3802168264
15	BajaCalifornia	Tijuana	Tijuana, BajaCalifornia	34897721.01818849	837545.3044365238
16	BajaCaliforniaSur	Comondú	Comondú, BajaCaliforniaSur	5995560.624020766	143893.45497649835
17	BajaCaliforniaSur	LaPaz	LaPaz, BajaCaliforniaSur	9138888.306905873	219333.31936574096
18	BajaCaliforniaSur	Loreto	Loreto, BajaCaliforniaSur	2203678.5583862355	52888.285401269655
19	BajaCaliforniaSur	LosCabos	LosCabos, BajaCaliforniaSur	12650927.57398803	303622.2617757127
20	BajaCaliforniaSur	Mulegé	Mulegé, BajaCaliforniaSur	16966004.21445889	407184.10114701337
21	Campeche	Calakmul	Calakmul, Campeche	3631128.7009448186	87147.08882267565
22	Campeche	Calkiní	Calkiní, Campeche	953386.5870797265	22881.278089913434
23	Campeche	Campeche	Campeche, Campeche	3868566.500924499	92845.59602218798
24	Campeche	Candelaria	Candelaria, Campeche	1293923.639580416	31054.167349929983
25	Campeche	Carmen	Carmen, Campeche	7893023.293706251	189432.55904895
26	Campeche	Champotón	Champotón, Campeche	3394211.3289795895	81461.07189551015
27	Campeche	Escárcega	Escárcega, Campeche	13708794.274579106	329011.06258989853
28	Campeche	Hecelchakán	Hecelchakán, Campeche	595428.8298590183	14290.29191661644
29	Campeche	Hopelchén	Hopelchén, Campeche	4212288.556691898	101094.92536060556
30	Campeche	Palizada	Palizada, Campeche	167499.23966054452	4019.9817518530685
31	Campeche	Tenabo	Tenabo, Campeche	533414.5398013757	12801.948955233018
32	Chiapas	Acacoyagua	Acacoyagua, Chiapas	205366.75787860926	4928.802189086623
33	Chiapas	Acala	Acala, Chiapas	529299.281786402	12703.182762873648
34	Chiapas	Acapetahua	Acapetahua, Chiapas	309064.04372104886	7417.537049305172
35	Chiapas	Aldama	Aldama, Chiapas	35420.65478655663	850.0957148773591
36	Chiapas	Altamirano	Altamirano, Chiapas	520977.0942304666	12503.450261531198
37	Chiapas	Amatán	Amatán, Chiapas	373137.5842783251	8955.302022679802
38	Chiapas	AmatenangodelaFrontera	AmatenangodelaFrontera, Chiapas	683373.840328476	16400.972167883425
39	Chiapas	AmatenangodelValle	AmatenangodelValle, Chiapas	273556.88419623807	6565.365220709713
40	Chiapas	AngelAlbinoCorzo	AngelAlbinoCorzo, Chiapas	395139.58458224765	9483.350029973943
41	Chiapas	Arriaga	Arriaga, Chiapas	1679828.4513345931	40315.882832030235
42	Chiapas	BejucaldeOcampo	BejucaldeOcampo, Chiapas	252057.37431118646	6049.3769834684745
43	Chiapas	BellaVista	BellaVista, Chiapas	564858.4388765804	13556.60253303793
44	Chiapas	BeneméritodelasAméricas	BeneméritodelasAméricas, Chiapas	1050837.9644310125	25220.1111463443
45	Chiapas	Berriozábal	Berriozábal, Chiapas	940924.6228901925	22582.19094936462
46	Chiapas	Bochil	Bochil, Chiapas	756722.4416378416	18161.3385993082
47	Chiapas	Cacahoatán	Cacahoatán, Chiapas	524508.3429664508	12588.20023119482
48	Chiapas	Catazajá	Catazajá, Chiapas	668234.4569726456	16037.626967343494
49	Chiapas	Chalchihuitán	Chalchihuitán, Chiapas	192030.724148107	4608.737379554568
50	Chiapas	Chamula	Chamula, Chiapas	1860787.3140807673	44658.89553793841
51	Chiapas	Chanal	Chanal, Chiapas	181234.7248405776	4349.633396173863
52	Chiapas	Chapultenango	Chapultenango, Chiapas	243348.6146003684	5840.366750408842
53	Chiapas	Chenalhó	Chenalhó, Chiapas	433862.3579084789	10412.696589803492
54	Chiapas	ChiapadeCorzo	ChiapadeCorzo, Chiapas	3268990.6028077807	78455.77446738674
55	Chiapas	Chiapilla	Chiapilla, Chiapas	34872.44427499362	836.9386625998469
56	Chiapas	Chicoasén	Chicoasén, Chiapas	178513.18924218795	4284.316541812511
57	Chiapas	Chicomuselo	Chicomuselo, Chiapas	563939.8957999748	13534.557499199394
58	Chiapas	Chilón	Chilón, Chiapas	2238586.6924822824	53726.08061957478
59	Chiapas	Cintalapa	Cintalapa, Chiapas	1873284.8000702928	44958.83520168702
60	Chiapas	Coapilla	Coapilla, Chiapas	216655.02384841797	5199.720572362032
61	Chiapas	ComitándeDomínguez	ComitándeDomínguez, Chiapas	2470007.9866893776	59280.19168054506
62	Chiapas	Copainalá	Copainalá, Chiapas	244591.92102807554	5870.206104673813
