	NAME	LABEL	FIPSCODE	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
0	Wakefield	City of Wakefield	82780	City of Wakefield-82780	85683.77780330142	2056.410667279234
1	Buchanan	City of Buchanan	11400	City of Buchanan-11400	83337.99769233262	2000.111944615983
2	Ovid	City of Ovid	61860	City of Ovid-61860	10968.170024693944	263.2360805926547
3	Westland	City of Westland	86000	City of Westland-86000	4897544.499059027	117541.06797741665
4	Livonia	City of Livonia	49000	City of Livonia-49000	7625571.982932152	183013.72759037168
5	Watervliet	City of Watervliet	84500	City of Watervliet-84500	27085.38891899847	650.0493340559632
6	Berkley	City of Berkley	07660	City of Berkley-07660	797126.0666475487	19131.025599541168
7	East Jordan	City of East Jordan	24020	City of East Jordan-24020	38619.23174634139	926.8615619121935
8	Hart	City of Hart	36920	City of Hart-36920	37229.07415701674	893.4977797684018
9	Mackinac Island	City of Mackinac Island	50280	City of Mackinac Island-50280	164831.92317303794	3955.9661561529106
10	Montrose	City of Montrose	55280	City of Montrose-55280	12782.611757466844	306.78268217920424
11	Standish	City of Standish	76120	City of Standish-76120	33318.377523810625	799.6410605714549
12	White Cloud	City of White Cloud	86680	City of White Cloud-86680	22886.28802833294	549.2709126799905
13	Harper Woods	City of Harper Woods	36700	City of Harper Woods-36700	962882.4672443968	23109.179213865522
14	Battle Creek	City of Battle Creek	05920	City of Battle Creek-05920	2211020.9041431993	53064.50169943678
15	Parchment	City of Parchment	62340	City of Parchment-62340	47906.81366034349	1149.7635278482437
16	Yale	City of Yale	89000	City of Yale-89000	11518.556873147008	276.4453649555282
17	Galesburg	City of Galesburg	31260	City of Galesburg-31260	31829.444966208877	763.9066791890131
18	Williamston	City of Williamston	87420	City of Williamston-87420	59626.673865164405	1431.0401727639457
19	New Baltimore	City of New Baltimore	57100	City of New Baltimore-57100	618406.6741552379	14841.760179725708
20	Caro	City of Caro	13420	City of Caro-13420	44680.38877325231	1072.3293305580553
21	Bay City	City of Bay City	06020	City of Bay City-06020	4226081.804471735	101425.96330732164
22	Hartford	City of Hartford	36960	City of Hartford-36960	18246.467035518705	437.9152088524489
23	Chelsea	City of Chelsea	15020	City of Chelsea-15020	77457.55987324189	1858.9814369578055
24	Plymouth	City of Plymouth	65060	City of Plymouth-65060	455287.2891094233	10926.89493862616
25	Memphis	City of Memphis	52960	City of Memphis-52960	19840.35190553416	476.16844573281986
26	Portage	City of Portage	65560	City of Portage-65560	2769095.1453086752	66458.2834874082
27	Traverse City	City of Traverse City	80340	City of Traverse City-80340	481560.4063798733	11557.449753116958
28	Adrian	City of Adrian	00440	City of Adrian-00440	263531.364478999	6324.752747495975
29	Royal Oak	City of Royal Oak	70040	City of Royal Oak-70040	3246150.952184239	77907.62285242173
30	Frankfort	City of Frankfort	30260	City of Frankfort-30260	38174.97165487817	916.1993197170762
31	Crystal Falls	City of Crystal Falls	19140	City of Crystal Falls-19140	39365.46411737137	944.7711388169129
32	Essexville	City of Essexville	26420	City of Essexville-26420	1599574.5100695086	38389.78824166821
33	Walker	City of Walker	82960	City of Walker-82960	2443281.909386776	58638.765825282615
34	Center Line	City of Center Line	14320	City of Center Line-14320	535973.7735215159	12863.37056451638
35	Hazel Park	City of Hazel Park	37420	City of Hazel Park-37420	940997.1077066897	22583.930584960555
36	Harrisville	City of Harrisville	36860	City of Harrisville-36860	14628.80578540715	351.0913388497716
37	Wayland	City of Wayland	84880	City of Wayland-84880	69789.11436115629	1674.9387446677508
38	Iron River	City of Iron River	40980	City of Iron River-40980	65086.63799007024	1562.0793117616856
39	Brighton	City of Brighton	10620	City of Brighton-10620	276178.5289009586	6628.284693623006
40	Potterville	City of Potterville	66100	City of Potterville-66100	41249.837841999244	989.9961082079818
41	Dearborn Heights	City of Dearborn Heights	21020	City of Dearborn Heights-21020	3222502.685146246	77340.06444350991
42	Clio	City of Clio	16620	City of Clio-16620	46867.269128872205	1124.814459092933
43	Wayne	City of Wayne	84940	City of Wayne-84940	1453276.2583265768	34878.63019983784
44	Grand Rapids	City of Grand Rapids	34000	City of Grand Rapids-34000	10542175.092379902	253012.20221711765
45	Au Gres	City of Au Gres	04120	City of Au Gres-04120	25913.25982465517	621.9182357917242
46	Fenton	City of Fenton	27760	City of Fenton-27760	260371.50160183836	6248.91603844412
47	Harbor Beach	City of Harbor Beach	36460	City of Harbor Beach-36460	36205.27842407371	868.9266821777691
48	Grand Blanc	City of Grand Blanc	33280	City of Grand Blanc-33280	403575.0911557248	9685.802187737394
49	Houghton	City of Houghton	39360	City of Houghton-39360	155490.12023457178	3731.762885629723
50	Hudson	City of Hudson	39720	City of Hudson-39720	30020.800792601098	720.4992190224262
51	Sandusky	City of Sandusky	71540	City of Sandusky-71540	27544.187642593966	661.0605034222551
52	Holland	City of Holland	38640	City of Holland-38640	1724737.6816073668	41393.704358576804
53	Flushing	City of Flushing	29200	City of Flushing-29200	147533.26761646284	3540.798422795108
54	Mt Clemens	City of Mt Clemens	55820	City of Mt Clemens-55820	732890.4934504897	17589.371842811754
55	Lansing	City of Lansing	46000	City of Lansing-46000	10383395.799519062	249201.4991884575
56	Huntington Woods	City of Huntington Woods	40000	City of Huntington Woods-40000	553728.973124052	13289.49535497725
57	Wyoming	City of Wyoming	88940	City of Wyoming-88940	4081108.354924874	97946.60051819697
58	Taylor	City of Taylor	79000	City of Taylor-79000	5669638.294213869	136071.31906113285
59	Luna Pier	City of Luna Pier	49700	City of Luna Pier-49700	3723860.766576365	89372.65839783277
60	Wyandotte	City of Wyandotte	88900	City of Wyandotte-88900	15346598.861129053	368318.37266709725
61	Harrison	City of Harrison	36800	City of Harrison-36800	58723.466066064866	1409.3631855855567
62	Belding	City of Belding	06900	City of Belding-06900	106819.05579999943	2563.6573391999864
63	Petoskey	City of Petoskey	63820	City of Petoskey-63820	132739.72200385865	3185.7533280926077
64	Benton Harbor	City of Benton Harbor	07520	City of Benton Harbor-07520	335529.95316700544	8052.718876008131
65	Ann Arbor	City of Ann Arbor	03000	City of Ann Arbor-03000	4940191.323271166	118564.59175850797
66	Algonac	City of Algonac	01180	City of Algonac-01180	41054.7872922377	985.3148950137048
67	River Rouge	City of River Rouge	68760	City of River Rouge-68760	7998000.2435911065	191952.00584618654
68	Gladstone	City of Gladstone	32300	City of Gladstone-32300	206765.79013352282	4962.378963204548
69	Durand	City of Durand	23500	City of Durand-23500	50957.52451848939	1222.9805884437453
70	Kingsford	City of Kingsford	43300	City of Kingsford-43300	83371.34651202265	2000.9123162885435
71	Southgate	City of Southgate	74960	City of Southgate-74960	8180846.958693478	196340.32700864348
72	Zeeland	City of Zeeland	89260	City of Zeeland-89260	244856.31228426093	5876.551494822262
73	Boyne City	City of Boyne City	09820	City of Boyne City-09820	73190.6138232258	1756.5747317574192
74	Richmond	City of Richmond	68380	City of Richmond-68380	57673.98202834807	1384.1755686803538
75	Manistique	City of Manistique	50760	City of Manistique-50760	90928.68488571623	2182.2884372571893
76	Big Rapids	City of Big Rapids	08300	City of Big Rapids-08300	98607.91635033273	2366.5899924079854
77	Roseville	City of Roseville	69800	City of Roseville-69800	2837440.7252377057	68098.57740570494
78	Springfield	City of Springfield	75700	City of Springfield-75700	210984.30729877992	5063.623375170718
79	Gobles	City of Gobles	32640	City of Gobles-32640	12663.877164400106	303.93305194560253
80	Grant	City of Grant	34360	City of Grant-34360	6415.083835353026	153.96201204847262
81	Grayling	City of Grayling	34640	City of Grayling-34640	48489.861067874255	1163.7566656289823
82	New Buffalo	City of New Buffalo	57220	City of New Buffalo-57220	120946.96381853147	2902.727131644755
83	Saugatuck	City of Saugatuck	71700	City of Saugatuck-71700	57050.167078796425	1369.2040098911143
84	Auburn	City of Auburn	04080	City of Auburn-04080	22903.205006368822	549.6769201528517
85	Village of Clarkston	City of Village of Clarkston	82450	City of Village of Clarkston-82450	24658.613014841536	591.8067123561968
86	East Lansing	City of East Lansing	24120	City of East Lansing-24120	3609499.98195831	86627.99956699944
87	Reed City	City of Reed City	67820	City of Reed City-67820	38507.769319590545	924.1864636701731
88	Muskegon	City of Muskegon	56320	City of Muskegon-56320	6163880.843795146	147933.1402510835
89	Ecorse	City of Ecorse	24740	City of Ecorse-24740	7947491.937110863	190739.8064906607
90	St Johns	City of St Johns	70940	City of St Johns-70940	105400.32580503066	2529.607819320736
91	Auburn Hills	City of Auburn Hills	04105	City of Auburn Hills-04105	2629222.78354862	63101.34680516688
92	Fraser	City of Fraser	30420	City of Fraser-30420	1014957.4772189525	24358.97945325486
93	Scottville	City of Scottville	72080	City of Scottville-72080	15452.703847727678	370.8648923454643
94	Pontiac	City of Pontiac	65440	City of Pontiac-65440	3626619.7136491584	87038.8731275798
95	Grosse Pointe Farms	City of Grosse Pointe Farms	35520	City of Grosse Pointe Farms-35520	865129.1845605386	20763.100429452927
96	Garden City	City of Garden City	31420	City of Garden City-31420	1445854.7886433473	34700.51492744034
97	Bronson	City of Bronson	10860	City of Bronson-10860	15901.417559806541	381.634021435357
98	Mt Pleasant	City of Mt Pleasant	56020	City of Mt Pleasant-56020	366341.2945235459	8792.1910685651
99	Stanton	City of Stanton	76220	City of Stanton-76220	27581.843013919683	661.9642323340723
100	Wixom	City of Wixom	88140	City of Wixom-88140	700855.1880119403	16820.524512286567
101	Coldwater	City of Coldwater	17020	City of Coldwater-17020	266049.8365349469	6385.196076838726
102	Walled Lake	City of Walled Lake	83060	City of Walled Lake-83060	311580.5527050832	7477.933264921997
103	Alma	City of Alma	01540	City of Alma-01540	214406.29215716504	5145.751011771961
104	Charlevoix	City of Charlevoix	14780	City of Charlevoix-14780	360908.19470459514	8661.796672910285
105	McBain	City of McBain	49980	City of McBain-49980	11031.631121390168	264.7591469133641
106	Iron Mountain	City of Iron Mountain	40960	City of Iron Mountain-40960	274618.4089734168	6590.841815362002
107	Birmingham	City of Birmingham	08640	City of Birmingham-08640	836027.051829895	20064.64924391748
108	Dexter	City of Dexter	22160	City of Dexter-22160	42555.237592118	1021.3257022108319
109	Marysville	City of Marysville	52080	City of Marysville-52080	8783822.298149403	210811.7351555857
110	Northville	City of Northville	58980	City of Northville-58980	339694.4662840811	8152.667190817947
111	Grandville	City of Grandville	34160	City of Grandville-34160	932853.0270935236	22388.472650244566
112	Otsego	City of Otsego	61620	City of Otsego-61620	46406.745312290135	1113.761887494963
113	Beaverton	City of Beaverton	06660	City of Beaverton-06660	9286.160923567933	222.86786216563038
