	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	state	city	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)
0	aguascalientes, aguascalientes	2873000000.0	167869.39	Aguascalientes	Aguascalientes	18636453.118208386	447274.87483700126	166.44218748695116
1	asientos, aguascalientes	108450000.0	6336.7335	Aguascalientes	Asientos	1024835.1036085216	24596.042486604518	288.1501800036962
2	calvillo, aguascalientes	150210000.0	8776.7703	Aguascalientes	Calvillo	1398371.408726505	33560.91380943612	282.3834128305274
3	cosío, aguascalientes			Aguascalientes	Cosío	615008.8244246263	14760.211786191032	
4	elllano, aguascalientes			Aguascalientes	ElLlano	611543.8525254328	14677.052460610388	
5	jesúsmaría, aguascalientes	289800000.0	16933.014	Aguascalientes	JesúsMaría	3514487.4413222675	84347.69859173443	398.1257240544089
6	pabellóndearteaga, aguascalientes	115740000.0	6762.6882000000005	Aguascalientes	PabellóndeArteaga	1282856.6066884818	30788.55856052356	355.27100540467853
7	rincónderomos, aguascalientes	133080000.0	7775.8644	Aguascalientes	RincóndeRomos	1479444.9999101541	35506.6799978437	356.6267899147482
8	sanfranciscodelosromo, aguascalientes	100320000.0	5861.6976	Aguascalientes	SanFranciscodelosRomo	2057190.0311792616	49372.56074830228	742.2911606409426
9	sanjosédegracia, aguascalientes			Aguascalientes	SanJosédeGracia	479692.7442788448	11512.625862692274	
10	tepezalá, aguascalientes			Aguascalientes	Tepezalá	716003.8957180997	17184.093497234393	
11	ensenada, bajacalifornia	1613600000.0	94282.648	BajaCalifornia	Ensenada	25381670.67920574	609160.0963009378	546.0999019681096
12	mexicali, bajacalifornia	3426000000.0	200181.18	BajaCalifornia	Mexicali	93753953.75030169	2250094.89000724	1024.02918696315
13	playasderosarito, bajacalifornia	306400000.0	17902.952	BajaCalifornia	PlayasdeRosarito	62401168.79381354	1497628.0510515252	8265.257590209285
14	tecate, bajacalifornia	309400000.0	18078.242000000002	BajaCalifornia	Tecate	7645265.842367766	183486.3802168264	914.9569865080155
15	tijuana, bajacalifornia	5518000000.0	322416.74	BajaCalifornia	Tijuana	34897721.01818849	837545.3044365238	159.7710355971355
16	lapaz, bajacaliforniasur	963000000.0	56268.090000000004	BajaCaliforniaSur	LaPaz	9138888.306905873	219333.31936574096	289.8005412405876
17	loreto, bajacaliforniasur			BajaCaliforniaSur	Loreto	2203678.5583862355	52888.285401269655	
