	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	NAME	LABEL	FIPSCODE	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)
0	city of wakefield-82780	100920783.190136	5261.00042770179	Wakefield	City of Wakefield	82780	85683.77780330142	2056.410667279234	60.91217448964256
1	city of buchanan-11400	194089255.489548	10117.872888670137	Buchanan	City of Buchanan	11400	83337.99769233262	2000.111944615983	80.23189294208586
2	city of ovid-61860	73184840.646892	3815.1257429224797	Ovid	City of Ovid	61860	10968.170024693944	263.2360805926547	93.1001990935426
3	city of westland-86000	3730321405.7039995	194461.6548793495	Westland	City of Westland	86000	4897544.499059027	117541.06797741665	39.55565787489412
4	city of livonia-49000	8996403817.796	468982.5310217054	Livonia	City of Livonia	49000	7625571.982932152	183013.72759037168	60.97642972081162
5	city of watervliet-84500	76593301.504456	3992.808807427291	Watervliet	City of Watervliet	84500	27085.38891899847	650.0493340559632	83.7194975916011
6	city of berkley-07660	753652655.61788	39287.91293736008	Berkley	City of Berkley	07660	797126.0666475487	19131.025599541168	51.30556914529076
7	city of east jordan-24020	148437273.462016	7738.0350655748925	East Jordan	City of East Jordan	24020	38619.23174634139	926.8615619121935	88.02200359577547
8	city of hart-36920	110085149.148684	5738.738825120897	Hart	City of Hart	36920	37229.07415701674	893.4977797684018	84.43041568894576
9	city of mackinac island-50280	80558458.698072	4199.512451930494	Mackinac Island	City of Mackinac Island	50280	164831.92317303794	3955.9661561529106	5.799394538421385
10	city of montrose-55280	57305222.174256004	2987.3212319439654	Montrose	City of Montrose	55280	12782.611757466844	306.78268217920424	89.73050909628594
11	city of standish-76120	111049390.000568	5789.00470072961	Standish	City of Standish	76120	33318.377523810625	799.6410605714549	86.18689909734098
12	city of white cloud-86680	47884274.043996006	2496.2072059135116	White Cloud	City of White Cloud	86680	22886.28802833294	549.2709126799905	77.99578050336653
13	city of harper woods-36700	617958669.97066	32214.185465570503	Harper Woods	City of Harper Woods	36700	962882.4672443968	23109.179213865522	28.26396545533061
14	city of battle creek-05920	55345569.313907996	2885.1645283340235	Battle Creek	City of Battle Creek	05920	2211020.9041431993	53064.50169943678	1739.219260403071
15	city of battle creek-05920	4371070563.188	227863.90845899042	Battle Creek	City of Battle Creek	05920	2211020.9041431993	53064.50169943678	76.71219542475855
16	city of parchment-62340	85736717.03981999	4469.455059285816	Parchment	City of Parchment	62340	47906.81366034349	1149.7635278482437	74.27508471173738
17	city of yale-89000	84579867.475644	4409.1484915053215	Yale	City of Yale	89000	11518.556873147008	276.4453649555282	93.73018700803276
18	city of galesburg-31260	127223974.720568	6632.1858021832095	Galesburg	City of Galesburg	31260	31829.444966208877	763.9066791890131	88.48182632432362
19	city of williamston-87420	181255207.54114	9448.833969119627	Williamston	City of Williamston	87420	59626.673865164405	1431.0401727639457	84.85484899575097
20	city of new baltimore-57100	511519932.90836006	26665.534102512807	New Baltimore	City of New Baltimore	57100	618406.6741552379	14841.760179725708	44.34103542547417
