	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
0	LOWELL	1116718.1975274857	26801.236740659653
1	BEVERLY	131128.93919336735	3147.094540640816
2	GLOUCESTER	426122.4686900766	10226.93924856184
3	CHESTER	12953.77884971337	310.89069239312084
4	WINCHESTER	770761.2841088261	18498.270818611825
5	MILLVILLE	143072.74157004646	3433.745797681115
6	BRIDGEWATER	443341.18829737796	10640.188519137071
7	HOPEDALE	132123.16312147985	3170.9559149155166
8	TOPSFIELD	97182.61725787821	2332.382814189077
9	BOXFORD	343581.0662191949	8245.945589260678
10	WALPOLE	706556.8389052503	16957.36413372601
11	BERLIN	166894.13435160503	4005.459224438521
12	SHARON	714396.3004769699	17145.511211447276
13	LYNN	78843.58094568297	1892.2459426963915
14	NORWOOD	479030.6053360452	11496.734528065086
15	WALES	16741.758657621584	401.802207782918
16	SOMERVILLE	1158414.0044148779	27801.93610595707
17	LEYDEN	29181.290944198983	700.3509826607756
18	HUNTINGTON	16877.764057811808	405.0663373874834
19	DUDLEY	178805.48965167368	4291.331751640168
20	TOLLAND	9190.855901328088	220.5805416318741
21	CANTON	957768.4224958499	22986.4421399004
22	MASHPEE	208768.37177201264	5010.440922528303
23	LYNNFIELD	354223.8816161639	8501.373158787932
24	BARNSTABLE	959532.7524643413	23028.786059144193
25	DOVER	467851.17494320514	11228.428198636922
26	MENDON	494502.71144999703	11868.065074799928
27	HUDSON	382905.42502769834	9189.73020066476
28	WESTWOOD	597240.9635159189	14333.783124382055
29	HOLLAND	12509.819030803916	300.235656739294
30	CAMBRIDGE	1946349.6072887685	46712.39057493045
31	FITCHBURG	435342.59197037324	10448.222207288958
32	LEOMINSTER	832818.4944037843	19987.643865690825
33	LUNENBURG	504681.62752493314	12112.359060598395
34	LEXINGTON	802149.0638210004	19251.57753170401
35	LANESBOROUGH	77218.67971488443	1853.2483131572264
36	PLAINFIELD	6028.465446407237	144.6831707137737
37	GOSNOLD	6546.137271456168	157.10729451494802
38	PERU	9096.675635271711	218.32021524652106
39	SHERBORN	436307.9584503516	10471.39100280844
40	MIDDLEBOROUGH	386011.1157209759	9264.266777303423
41	FALL RIVER	724809.1877199318	17395.420505278365
42	HOLLISTON	586629.1195248329	14079.098868595991
43	GREENFIELD	95699.22749682795	2296.781459923871
44	GRAFTON	620489.1022432268	14891.738453837443
45	BLACKSTONE	328085.52850000485	7874.052684000116
46	MEDFORD	1154472.7854495475	27707.346850789138
47	PEMBROKE	359596.20897085377	8630.30901530049
48	DUXBURY	253249.52521102192	6077.988605064526
49	BOSTON	10695348.866338085	256688.37279211404
50	CONCORD	311501.19920464227	7476.028780911414
51	WINDSOR	15638.954675786455	375.3349122188749
52	TAUNTON	658457.2082149342	15802.972997158422
53	WAREHAM	418859.5199224982	10052.628478139957
54	NORTH BROOKFIELD	109084.24785765928	2618.021948583823
55	CHARLTON	198378.39443382775	4761.081466411866
56	DEERFIELD	176797.19064213726	4243.132575411294
57	CONWAY	91192.43723762599	2188.6184937030234
58	DALTON	94921.91012437218	2278.1258429849327
59	WELLESLEY	633895.6723474513	15213.496136338832
60	NEEDHAM	544552.434017979	13069.258416431494
61	PETERSHAM	59252.97335120899	1422.0713604290156
62	READING	404782.72082788777	9714.785299869307
63	QUINCY	1699034.914675268	40776.837952206435
64	CHESTERFIELD	15634.570759638229	375.2296982313175
65	RANDOLPH	607881.8879442048	14589.165310660917
66	SHEFFIELD	86481.71272897131	2075.5611054953115
67	NEWBURYPORT	161010.33196870628	3864.2479672489508
68	MAYNARD	140622.57610660454	3374.941826558509
69	LANCASTER	326703.950365488	7840.894808771713
70	DIGHTON	242666.46435730773	5823.995144575385
71	ATHOL	134795.3849772086	3235.0892394530065
72	CHESHIRE	24316.46850293873	583.5952440705295
73	ESSEX	26114.107974041766	626.7385913770024
74	WARE	134271.04476201412	3222.505074288339
75	NANTUCKET	83553.73917535933	2005.289740208624
76	TEWKSBURY	688775.6719402685	16530.616126566445
77	EGREMONT	8212.478614163934	197.09948673993443
78	BROOKLINE	1955655.2948958075	46935.72707749938
79	LENOX	139279.0709381121	3342.6977025146903
80	PITTSFIELD	898053.859514136	21553.292628339266
81	EVERETT	699890.2898297531	16797.366955914073
82	TYNGSBOROUGH	554819.8407394333	13315.6761777464
83	MALDEN	861952.0843015509	20686.85002323722
84	STONEHAM	910168.1565637	21844.035757528796
85	NORTHAMPTON	501854.1020714426	12044.498449714622
86	BRAINTREE	834315.1883052443	20023.564519325864
87	SCITUATE	126312.18273807935	3031.4923857139047
88	NAHANT	0.0	0.0
89	WENHAM	105363.57679979055	2528.725843194973
90	BELLINGHAM	434845.4081061638	10436.28979454793
91	STURBRIDGE	149170.18082587904	3580.084339821097
92	BELMONT	1047708.0505325843	25144.993212782025
