	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)	region	state	city	NAME	LABEL	FIPSCODE
0	lowell	3948586919.52552	230005.18806236156	1116718.1975274857	26801.236740659653	88.34755121549996	massachusetts					
1	beverly			131128.93919336735	3147.094540640816		massachusetts					
2	gloucester			426122.4686900766	10226.93924856184		massachusetts					
3	chester			12953.77884971337	310.89069239312084		massachusetts					
4	winchester			770761.2841088261	18498.270818611825		massachusetts					
5	millville			143072.74157004646	3433.745797681115		massachusetts					
6	bridgewater			443341.188297378	10640.188519137071		massachusetts					
7	hopedale			132123.16312147985	3170.9559149155166		massachusetts					
8	topsfield			97182.6172578782	2332.382814189077		massachusetts					
9	boxford			343581.0662191949	8245.945589260678		massachusetts					
10	walpole			706556.8389052503	16957.36413372601		massachusetts					
11	berlin			166894.13435160503	4005.459224438521		massachusetts					
12	sharon			714396.3004769699	17145.511211447276		massachusetts					
13	lynn	2984576513.6596003	173851.5819206717	78843.58094568297	1892.2459426963917	98.91157392887008	massachusetts					
14	norwood			479030.6053360452	11496.734528065086		massachusetts					
15	wales			16741.758657621584	401.802207782918		massachusetts					
16	somerville	2727276761.88348	158863.8713797127	1158414.004414878	27801.93610595707	82.4995224751224	massachusetts					
17	leyden			29181.290944198983	700.3509826607756		massachusetts					
18	huntington			16877.764057811808	405.0663373874834		massachusetts					
19	dudley			178805.48965167368	4291.331751640168		massachusetts					
20	tolland			9190.855901328088	220.5805416318741		massachusetts					
21	canton			957768.42249585	22986.4421399004		massachusetts					
22	mashpee			208768.37177201264	5010.440922528303		massachusetts					
23	lynnfield			354223.8816161639	8501.373158787932		massachusetts					
24	barnstable			959532.7524643412	23028.786059144197		massachusetts					
25	dover			467851.17494320514	11228.428198636922		massachusetts					
26	mendon			494502.711449997	11868.065074799928		massachusetts					
27	hudson			382905.4250276984	9189.73020066476		massachusetts					
28	westwood			597240.9635159189	14333.783124382056		massachusetts					
29	holland			12509.819030803916	300.235656739294		massachusetts					
30	cambridge	6117525771.3886	356345.876183386	1946349.6072887685	46712.39057493045	86.89127791368325	massachusetts					
31	fitchburg			435342.5919703733	10448.222207288958		massachusetts					
32	leominster			832818.4944037843	19987.643865690825		massachusetts					
33	lunenburg			504681.62752493314	12112.359060598395		massachusetts					
34	lexington			802149.0638210004	19251.57753170401		massachusetts					
35	lanesborough			77218.67971488443	1853.2483131572264		massachusetts					
36	plainfield			6028.465446407237	144.6831707137737		massachusetts					
37	gosnold			6546.137271456168	157.10729451494802		massachusetts					
38	peru			9096.675635271711	218.32021524652103		massachusetts					
39	sherborn			436307.9584503516	10471.39100280844		massachusetts					
40	middleborough			386011.1157209759	9264.266777303425		massachusetts					
41	fall river	4091722851.9892	238342.8561283709	724809.1877199318	17395.420505278365	92.70151378235174	massachusetts					
42	holliston			586629.1195248329	14079.098868595993		massachusetts					
43	greenfield			95699.22749682797	2296.781459923871		massachusetts					
44	grafton			620489.1022432268	14891.738453837444		massachusetts					
45	blackstone			328085.52850000485	7874.052684000116		massachusetts					
46	medford	2118027826.77872	123375.12090986044	1154472.7854495477	27707.346850789138	77.54219274805614	massachusetts					
47	pembroke			359596.20897085377	8630.30901530049		massachusetts					
48	duxbury			253249.52521102192	6077.988605064526		massachusetts					
49	boston	34894797090.3156	2032621.9305108837	10695348.866338084	256688.37279211404	87.37156335179374	massachusetts					
50	concord			311501.19920464227	7476.028780911414		massachusetts					
51	windsor			15638.954675786455	375.3349122188749		massachusetts					
52	taunton	2869493120.1068	167147.9742462211	658457.2082149342	15802.972997158422	90.54551928108953	massachusetts					
53	wareham			418859.5199224982	10052.628478139955		massachusetts					
54	north brookfield			109084.24785765928	2618.021948583823		massachusetts					
55	charlton			198378.39443382772	4761.081466411866		massachusetts					
56	deerfield			176797.19064213726	4243.132575411294		massachusetts					
57	conway			91192.437237626	2188.6184937030234		massachusetts					
58	dalton			94921.91012437218	2278.1258429849327		massachusetts					
59	wellesley			633895.6723474513	15213.496136338832		massachusetts					
60	needham			544552.434017979	13069.258416431494		massachusetts					
61	petersham			59252.97335120899	1422.0713604290156		massachusetts					
62	reading			404782.72082788777	9714.785299869309		massachusetts					
63	quincy	4414552367.99764	257147.6754358625	1699034.914675268	40776.83795220644	84.14263792854042	massachusetts					
64	chesterfield			15634.570759638227	375.2296982313175		massachusetts					
65	randolph			607881.8879442048	14589.165310660916		massachusetts					
66	sheffield			86481.71272897131	2075.5611054953115		massachusetts					
67	newburyport			161010.33196870628	3864.247967248951		massachusetts					
68	maynard			140622.57610660454	3374.941826558509		massachusetts					
69	lancaster			326703.950365488	7840.894808771713		massachusetts					
70	dighton			242666.46435730773	5823.995144575385		massachusetts					
71	athol			134795.3849772086	3235.0892394530065		massachusetts					
72	cheshire			24316.46850293873	583.5952440705295		massachusetts					
73	essex			26114.107974041766	626.7385913770024		massachusetts					
74	ware			134271.04476201412	3222.505074288339		massachusetts					
75	nantucket			83553.73917535933	2005.289740208624		massachusetts					
76	tewksbury			688775.6719402685	16530.616126566445		massachusetts					
77	egremont			8212.478614163934	197.09948673993443		massachusetts					
78	brookline			1955655.2948958075	46935.72707749938		massachusetts					
79	lenox			139279.0709381121	3342.6977025146903		massachusetts					
80	pittsfield			898053.859514136	21553.292628339263		massachusetts					
81	everett	1502313755.0995998	87509.7762345517	699890.2898297531	16797.366955914073	80.80515380259659	massachusetts					
82	tyngsborough			554819.8407394333	13315.6761777464		massachusetts					
