	state	city	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
0	Aguascalientes	Aguascalientes	Aguascalientes, Aguascalientes	1684927.9300010104	40438.270320024254
1	Aguascalientes	Asientos	Asientos, Aguascalientes	228924.0603928647	5494.177449428752
2	Aguascalientes	Calvillo	Calvillo, Aguascalientes	182607.30347935835	4382.5752835046005
3	Aguascalientes	Cosío	Cosío, Aguascalientes	54183.484848569125	1300.4036363656592
4	Aguascalientes	ElLlano	ElLlano, Aguascalientes	94922.76212812764	2278.1462910750633
5	Aguascalientes	JesúsMaría	JesúsMaría, Aguascalientes	341635.0108011072	8199.240259226573
6	Aguascalientes	PabellóndeArteaga	PabellóndeArteaga, Aguascalientes	125932.12367510339	3022.370968202481
7	Aguascalientes	RincóndeRomos	RincóndeRomos, Aguascalientes	163550.88035442613	3925.2211285062276
8	Aguascalientes	SanFranciscodelosRomo	SanFranciscodelosRomo, Aguascalientes	214795.6758955881	5155.096221494114
9	Aguascalientes	SanJosédeGracia	SanJosédeGracia, Aguascalientes	54881.79049093819	1317.1629717825167
10	Aguascalientes	Tepezalá	Tepezalá, Aguascalientes	97228.1577388979	2333.47578573355
11	BajaCalifornia	Ensenada	Ensenada, BajaCalifornia	1030623.6782974072	24734.968279137775
12	BajaCalifornia	Mexicali	Mexicali, BajaCalifornia	3535612.6685834867	84854.70404600368
13	BajaCalifornia	PlayasdeRosarito	PlayasdeRosarito, BajaCalifornia	274075.6438475437	6577.815452341048
14	BajaCalifornia	Tecate	Tecate, BajaCalifornia	559549.7118453747	13429.193084288992
15	BajaCalifornia	Tijuana	Tijuana, BajaCalifornia	4437390.295835577	106497.36710005385
16	BajaCaliforniaSur	Comondú	Comondú, BajaCaliforniaSur	194859.71135526476	4676.633072526354
17	BajaCaliforniaSur	LaPaz	LaPaz, BajaCaliforniaSur	387956.30055600667	9310.95121334416
18	BajaCaliforniaSur	Loreto	Loreto, BajaCaliforniaSur	49980.86244595112	1199.5406987028268
19	BajaCaliforniaSur	LosCabos	LosCabos, BajaCaliforniaSur	660030.3788312253	15840.729091949406
20	BajaCaliforniaSur	Mulegé	Mulegé, BajaCaliforniaSur	179732.0379860371	4313.56891166489
21	Campeche	Calakmul	Calakmul, Campeche	161348.7561162515	3872.370146790036
22	Campeche	Calkiní	Calkiní, Campeche	172876.98605324386	4149.0476652778525
23	Campeche	Campeche	Campeche, Campeche	263493.4499329576	6323.842798390982
24	Campeche	Candelaria	Candelaria, Campeche	224291.09525407842	5382.986286097882
25	Campeche	Carmen	Carmen, Campeche	576539.3741726974	13836.944980144739
26	Campeche	Champotón	Champotón, Campeche	250737.90038371691	6017.709609209206
27	Campeche	Escárcega	Escárcega, Campeche	207119.275649641	4970.862615591384
28	Campeche	Hecelchakán	Hecelchakán, Campeche	90330.34166117139	2167.928199868113
29	Campeche	Hopelchén	Hopelchén, Campeche	210770.53751766207	5058.49290042389
30	Campeche	Palizada	Palizada, Campeche	52077.89483651201	1249.869476076288
31	Campeche	Tenabo	Tenabo, Campeche	40127.70037929508	963.064809103082
32	Chiapas	Acacoyagua	Acacoyagua, Chiapas	60797.54661624328	1459.1411187898386
33	Chiapas	Acala	Acala, Chiapas	117798.72353945473	2827.1693649469134
34	Chiapas	Acapetahua	Acapetahua, Chiapas	127776.01626197161	3066.624390287319
35	Chiapas	Aldama	Aldama, Chiapas	12345.839378231256	296.30014507755016
36	Chiapas	Altamirano	Altamirano, Chiapas	161341.8657900119	3872.2047789602857
37	Chiapas	Amatán	Amatán, Chiapas	146174.59968192194	3508.1903923661266
38	Chiapas	AmatenangodelaFrontera	AmatenangodelaFrontera, Chiapas	144816.55011888777	3475.597202853306
39	Chiapas	AmatenangodelValle	AmatenangodelValle, Chiapas	54846.068868740964	1316.3056528497832
40	Chiapas	AngelAlbinoCorzo	AngelAlbinoCorzo, Chiapas	111326.51196150787	2671.8362870761894
41	Chiapas	Arriaga	Arriaga, Chiapas	153439.07730607624	3682.53785534583
42	Chiapas	BejucaldeOcampo	BejucaldeOcampo, Chiapas	41295.17487214019	991.0841969313644
43	Chiapas	BellaVista	BellaVista, Chiapas	116452.48742736006	2794.8596982566414
44	Chiapas	BeneméritodelasAméricas	BeneméritodelasAméricas, Chiapas	58661.299116165035	1407.8711787879608
45	Chiapas	Berriozábal	Berriozábal, Chiapas	149106.83291156514	3578.5639898775635
46	Chiapas	Bochil	Bochil, Chiapas	135655.94561875658	3255.742694850158
47	Chiapas	Cacahoatán	Cacahoatán, Chiapas	118484.75843525126	2843.6342024460305
48	Chiapas	Catazajá	Catazajá, Chiapas	100439.07954111957	2410.5379089868698
49	Chiapas	Chalchihuitán	Chalchihuitán, Chiapas	67931.45997496093	1630.3550393990622
50	Chiapas	Chamula	Chamula, Chiapas	384928.15663949755	9238.275759347942
51	Chiapas	Chanal	Chanal, Chiapas	60037.6706236899	1440.9040949685575
52	Chiapas	Chapultenango	Chapultenango, Chiapas	46575.02748132262	1117.800659551743
53	Chiapas	Chenalhó	Chenalhó, Chiapas	146352.5212191835	3512.460509260404
54	Chiapas	ChiapadeCorzo	ChiapadeCorzo, Chiapas	420171.21224149445	10084.109093795865
55	Chiapas	Chiapilla	Chiapilla, Chiapas	16372.3800527948	392.9371212670752
56	Chiapas	Chicoasén	Chicoasén, Chiapas	30898.252358039572	741.5580565929497
57	Chiapas	Chicomuselo	Chicomuselo, Chiapas	181693.71502294883	4360.649160550773
58	Chiapas	Chilón	Chilón, Chiapas	627455.3313643612	15058.92795274467
59	Chiapas	Cintalapa	Cintalapa, Chiapas	318835.1298259535	7652.043115822884
60	Chiapas	Coapilla	Coapilla, Chiapas	52233.22628269791	1253.5974307847498
61	Chiapas	ComitándeDomínguez	ComitándeDomínguez, Chiapas	459486.7131184661	11027.681114843186
62	Chiapas	Copainalá	Copainalá, Chiapas	96161.63659046101	2307.8792781710645
63	Chiapas	ElBosque	ElBosque, Chiapas	82891.82011069142	1989.4036826565941
64	Chiapas	ElPorvenir	ElPorvenir, Chiapas	50532.156819895994	1212.771763677504
65	Chiapas	Escuintla	Escuintla, Chiapas	145582.36055910087	3493.976653418421
66	Chiapas	FranciscoLeón	FranciscoLeón, Chiapas	38191.75517319432	916.6021241566636
67	Chiapas	FronteraComalapa	FronteraComalapa, Chiapas	288267.6472982584	6918.423535158201
68	Chiapas	FronteraHidalgo	FronteraHidalgo, Chiapas	21223.52982585941	509.36471582062575
69	Chiapas	Huehuetán	Huehuetán, Chiapas	137672.90946768696	3304.149827224487
70	Chiapas	Huitiupán	Huitiupán, Chiapas	160192.3817513258	3844.617162031819
71	Chiapas	Huixtán	Huixtán, Chiapas	111288.73221357117	2670.929573125708
72	Chiapas	Huixtla	Huixtla, Chiapas	163713.67447859343	3929.1281874862425
73	Chiapas	Ixhuatán	Ixhuatán, Chiapas	42063.362910594675	1009.5207098542722
74	Chiapas	Ixtacomitán	Ixtacomitán, Chiapas	40664.94601214571	975.958704291497
75	Chiapas	Ixtapa	Ixtapa, Chiapas	165158.5715223295	3963.8057165359082
76	Chiapas	Ixtapangajoya	Ixtapangajoya, Chiapas	33554.72038689532	805.3132892854877
77	Chiapas	Jiquipilas	Jiquipilas, Chiapas	157653.294131792	3783.679059163008
78	Chiapas	Jitotol	Jitotol, Chiapas	101078.19225702263	2425.8766141685433
79	Chiapas	Juárez	Juárez, Chiapas	144179.3613108959	3460.304671461502
80	Chiapas	LaConcordia	LaConcordia, Chiapas	247732.66503309578	5945.583960794299
81	Chiapas	LaGrandeza	LaGrandeza, Chiapas	30098.893683015223	722.3734483923654
82	Chiapas	LaIndependencia	LaIndependencia, Chiapas	206380.94155767697	4953.142597384247
83	Chiapas	LaLibertad	LaLibertad, Chiapas	37881.677357637935	909.1602565833105
84	Chiapas	LaTrinitaria	LaTrinitaria, Chiapas	425580.14404040034	10213.923456969607
85	Chiapas	Larráinzar	Larráinzar, Chiapas	83571.31818068134	2005.7116363363523
86	Chiapas	LasMargaritas	LasMargaritas, Chiapas	633094.7083255257	15194.272999812618
87	Chiapas	LasRosas	LasRosas, Chiapas	70282.26043278817	1686.774250386916
88	Chiapas	Mapastepec	Mapastepec, Chiapas	181794.33512145487	4363.064042914917
89	Chiapas	MaravillaTenejapa	MaravillaTenejapa, Chiapas	54169.76841925226	1300.0744420620542
90	Chiapas	MarquésdeComillas	MarquésdeComillas, Chiapas	46362.38091812274	1112.6971420349457
91	Chiapas	MazapadeMadero	MazapadeMadero, Chiapas	40354.34335363709	968.5042404872901
92	Chiapas	Mazatán	Mazatán, Chiapas	126563.93980492943	3037.534555318306
93	Chiapas	Metapa	Metapa, Chiapas	30924.14359616114	742.1794463078674
94	Chiapas	Mitontic	Mitontic, Chiapas	32053.043368000526	769.2730408320126
95	Chiapas	MontecristodeGuerrero	MontecristodeGuerrero, Chiapas	49504.986964351876	1188.119687144445
96	Chiapas	Motozintla	Motozintla, Chiapas	280077.0058090671	6721.8481394176115
97	Chiapas	NicolásRuíz	NicolásRuíz, Chiapas	6238.87832034659	149.73307968831816
98	Chiapas	Ocosingo	Ocosingo, Chiapas	1016409.4185897739	24393.826046154572
99	Chiapas	Ocotepec	Ocotepec, Chiapas	24471.91086812775	587.325860835066
100	Chiapas	OcozocoautladeEspinosa	OcozocoautladeEspinosa, Chiapas	392762.7978465597	9426.307148317434
101	Chiapas	Ostuacán	Ostuacán, Chiapas	89011.97471331668	2136.2873931196004
102	Chiapas	Osumacinta	Osumacinta, Chiapas	20257.59638699364	486.1823132878473
103	Chiapas	Oxchuc	Oxchuc, Chiapas	209050.77068438107	5017.218496425146
104	Chiapas	Palenque	Palenque, Chiapas	515110.591270205	12362.654190484918
105	Chiapas	Pantelhó	Pantelhó, Chiapas	71639.50413168543	1719.3480991604506
106	Chiapas	Pantepec	Pantepec, Chiapas	67245.99638787321	1613.903913308957
107	Chiapas	Pichucalco	Pichucalco, Chiapas	124787.11909093217	2994.890858182372
108	Chiapas	Pijijiapan	Pijijiapan, Chiapas	237847.39925692527	5708.337582166206
109	Chiapas	PuebloNuevoSolistahuacán	PuebloNuevoSolistahuacán, Chiapas	86187.75108324982	2068.506025997996
110	Chiapas	Rayón	Rayón, Chiapas	35866.605583621196	860.7985340069088
111	Chiapas	Reforma	Reforma, Chiapas	220447.76720324712	5290.74641287793
112	Chiapas	Sabanilla	Sabanilla, Chiapas	138918.8049295463	3334.0513183091116
113	Chiapas	SaltodeAgua	SaltodeAgua, Chiapas	306276.30018696026	7350.6312044870465
114	Chiapas	SanAndrésDuraznal	SanAndrésDuraznal, Chiapas	20212.484533109	485.09962879461597
115	Chiapas	SanCristóbaldelasCasas	SanCristóbaldelasCasas, Chiapas	401144.9385922245	9627.478526213388
116	Chiapas	SanFernando	SanFernando, Chiapas	110357.28932533624	2648.5749438080697
117	Chiapas	SanJuanCancuc	SanJuanCancuc, Chiapas	116704.61718573938	2800.910812457745
118	Chiapas	SanLucas	SanLucas, Chiapas	12240.994978295757	293.7838794790982
119	Chiapas	SantiagoelPinar	SantiagoelPinar, Chiapas	7609.294605484046	182.6230705316171
120	Chiapas	Siltepec	Siltepec, Chiapas	228665.67285134178	5487.9761484322025
121	Chiapas	Simojovel	Simojovel, Chiapas	155448.1048918435	3730.7545174042443
122	Chiapas	Sitalá	Sitalá, Chiapas	83133.42111679897	1995.2021068031752
123	Chiapas	Socoltenango	Socoltenango, Chiapas	75325.08042005118	1807.8019300812282
124	Chiapas	Solosuchiapa	Solosuchiapa, Chiapas	39238.64441560717	941.7274659745719
125	Chiapas	Soyaló	Soyaló, Chiapas	37683.89813583766	904.4135552601039
126	Chiapas	Suchiapa	Suchiapa, Chiapas	64781.366305129195	1554.7527913231006
127	Chiapas	Suchiate	Suchiate, Chiapas	67829.83829286162	1627.9161190286788
128	Chiapas	Sunuapa	Sunuapa, Chiapas	13206.39720471711	316.9535329132106
129	Chiapas	Tapachula	Tapachula, Chiapas	815062.7377998107	19561.505707195458
130	Chiapas	Tapalapa	Tapalapa, Chiapas	33161.14383902823	795.8674521366775
131	Chiapas	Tapilula	Tapilula, Chiapas	29561.941766295124	709.486602391083
132	Chiapas	Tecpatán	Tecpatán, Chiapas	203311.25079572143	4879.470019097314
133	Chiapas	Tenejapa	Tenejapa, Chiapas	205291.45875620443	4926.995010148906
134	Chiapas	Teopisca	Teopisca, Chiapas	124463.14098024603	2987.1153835259047
135	Chiapas	Tila	Tila, Chiapas	389722.94455692294	9353.350669366151
136	Chiapas	Tonalá	Tonalá, Chiapas	284616.90452227596	6830.805708534623
137	Chiapas	Totolapa	Totolapa, Chiapas	26437.903585951815	634.5096860628436
138	Chiapas	Tumbalá	Tumbalá, Chiapas	173089.80101208377	4154.155224290011
139	Chiapas	TuxtlaChico	TuxtlaChico, Chiapas	232864.5279146605	5588.748669951851
140	Chiapas	TuxtlaGutiérrez	TuxtlaGutiérrez, Chiapas	1145001.848920077	27480.044374081852
141	Chiapas	Tuzantán	Tuzantán, Chiapas	125190.83498697917	3004.5800396875
142	Chiapas	Tzimol	Tzimol, Chiapas	81696.53045923726	1960.7167310216942
143	Chiapas	UniónJuárez	UniónJuárez, Chiapas	38947.42236516987	934.7381367640769
144	Chiapas	VenustianoCarranza	VenustianoCarranza, Chiapas	287683.0164998245	6904.392395995787
145	Chiapas	VillaComaltitlán	VillaComaltitlán, Chiapas	147123.21467286706	3530.957152148809
146	Chiapas	VillaCorzo	VillaCorzo, Chiapas	278810.8982247863	6691.46155739487
147	Chiapas	Villaflores	Villaflores, Chiapas	367613.8488371715	8822.732372092116
148	Chiapas	Yajalón	Yajalón, Chiapas	137854.488125361	3308.507715008664
149	Chiapas	Zinacantán	Zinacantán, Chiapas	197775.6480035747	4746.615552085793
150	Chihuahua	Ahumada	Ahumada, Chihuahua	33384.073794732874	801.217771073589
151	Chihuahua	Aldama	Aldama, Chihuahua	73525.30354341176	1764.6072850418823
152	Chihuahua	Allende	Allende, Chihuahua	51002.719215849	1224.065261180376
153	Chihuahua	AquilesSerdán	AquilesSerdán, Chihuahua	71869.82399974794	1724.8757759939506
154	Chihuahua	Ascensión	Ascensión, Chihuahua	70601.29012647422	1694.4309630353814
155	Chihuahua	Bachíniva	Bachíniva, Chihuahua	31009.342273038932	744.2242145529344
156	Chihuahua	Balleza	Balleza, Chihuahua	98126.10617292531	2355.0265481502074
157	Chihuahua	Batopilas	Batopilas, Chihuahua	78188.30354011939	1876.5192849628654
158	Chihuahua	Bocoyna	Bocoyna, Chihuahua	130874.76991922004	3140.9944780612814
159	Chihuahua	Buenaventura	Buenaventura, Chihuahua	91973.3386944332	2207.3601286663966
160	Chihuahua	Camargo	Camargo, Chihuahua	125524.27443980938	3012.582586555425
161	Chihuahua	Carichí	Carichí, Chihuahua	48132.070893522156	1155.1697014445317
162	Chihuahua	CasasGrandes	CasasGrandes, Chihuahua	98918.2112627594	2374.037070306226
163	Chihuahua	Chihuahua	Chihuahua, Chihuahua	1819713.1762253542	43673.1162294085
