	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)
0	lowell	3948586919.52552	230005.18806236153	1116718.1975274857	26801.236740659653	88.34755121549996
1	beverly			131128.93919336735	3147.094540640816	
2	gloucester			426122.4686900766	10226.93924856184	
3	chester			12953.77884971337	310.89069239312084	
4	winchester			770761.2841088261	18498.270818611825	
5	millville			143072.74157004646	3433.745797681115	
6	bridgewater			443341.18829737796	10640.188519137071	
7	hopedale			132123.16312147985	3170.9559149155166	
8	topsfield			97182.61725787821	2332.382814189077	
9	boxford			343581.0662191949	8245.945589260678	
10	walpole			706556.8389052503	16957.36413372601	
11	berlin			166894.13435160503	4005.459224438521	
12	sharon			714396.3004769699	17145.511211447276	
13	lynn	2984576513.6596003	173851.5819206717	78843.58094568297	1892.2459426963915	98.91157392887007
14	norwood			479030.6053360452	11496.734528065086	
15	wales			16741.758657621584	401.802207782918	
16	somerville	2727276761.88348	158863.8713797127	1158414.0044148779	27801.93610595707	82.4995224751224
17	leyden			29181.290944198983	700.3509826607756	
18	huntington			16877.764057811808	405.0663373874834	
19	dudley			178805.48965167368	4291.331751640168	
20	tolland			9190.855901328088	220.5805416318741	
21	canton			957768.4224958499	22986.4421399004	
22	mashpee			208768.37177201264	5010.440922528303	
23	lynnfield			354223.8816161639	8501.373158787932	
24	barnstable			959532.7524643413	23028.786059144193	
25	dover			467851.17494320514	11228.428198636922	
26	mendon			494502.71144999703	11868.065074799928	
27	hudson			382905.42502769834	9189.73020066476	
28	westwood			597240.9635159189	14333.783124382055	
29	holland			12509.819030803916	300.235656739294	
30	cambridge	6117525771.3886	356345.87618338596	1946349.6072887685	46712.39057493045	86.89127791368325
31	fitchburg			435342.59197037324	10448.222207288958	
32	leominster			832818.4944037843	19987.643865690825	
33	lunenburg			504681.62752493314	12112.359060598395	
34	lexington			802149.0638210004	19251.57753170401	
35	lanesborough			77218.67971488443	1853.2483131572264	
36	plainfield			6028.465446407237	144.6831707137737	
37	gosnold			6546.137271456168	157.10729451494802	
38	peru			9096.675635271711	218.32021524652106	
39	sherborn			436307.9584503516	10471.39100280844	
40	middleborough			386011.1157209759	9264.266777303423	
41	fall river	4091722851.9892	238342.8561283709	724809.1877199318	17395.420505278365	92.70151378235174
42	holliston			586629.1195248329	14079.098868595991	
