	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	state	city	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)
0	aguascalientes, aguascalientes	2873000000.0	167869.39	Aguascalientes	Aguascalientes	1684927.9300010104	40438.270320024254	75.91087313772674
1	asientos, aguascalientes	108450000.0	6336.7335	Aguascalientes	Asientos	228924.0603928647	5494.177449428752	13.29637818240657
2	calvillo, aguascalientes	150210000.0	8776.7703	Aguascalientes	Calvillo	182607.30347935835	4382.5752835046005	50.066195950182255
3	cosío, aguascalientes			Aguascalientes	Cosío	54183.484848569125	1300.4036363656592	
4	elllano, aguascalientes			Aguascalientes	ElLlano	94922.76212812764	2278.1462910750633	
5	jesúsmaría, aguascalientes	289800000.0	16933.014	Aguascalientes	JesúsMaría	341635.0108011072	8199.240259226573	51.578376659780865
6	pabellóndearteaga, aguascalientes	115740000.0	6762.6882000000005	Aguascalientes	PabellóndeArteaga	125932.12367510339	3022.370968202481	55.3081425785314
7	rincónderomos, aguascalientes	133080000.0	7775.8644	Aguascalientes	RincóndeRomos	163550.88035442613	3925.2211285062276	49.52045294789056
8	sanfranciscodelosromo, aguascalientes	100320000.0	5861.6976	Aguascalientes	SanFranciscodelosRomo	214795.6758955881	5155.096221494114	12.054551884523805
9	sanjosédegracia, aguascalientes			Aguascalientes	SanJosédeGracia	54881.79049093819	1317.1629717825167	
10	tepezalá, aguascalientes			Aguascalientes	Tepezalá	97228.1577388979	2333.47578573355	
11	ensenada, bajacalifornia	1613600000.0	94282.648	BajaCalifornia	Ensenada	1030623.6782974072	24734.968279137775	73.76508954315987
12	mexicali, bajacalifornia	3426000000.0	200181.18	BajaCalifornia	Mexicali	3535612.6685834867	84854.70404600368	57.61104812849855
13	playasderosarito, bajacalifornia	306400000.0	17902.952	BajaCalifornia	PlayasdeRosarito	274075.6438475437	6577.815452341048	63.25848691131469
14	tecate, bajacalifornia	309400000.0	18078.242000000002	BajaCalifornia	Tecate	559549.7118453747	13429.193084288992	25.716266635389708
15	tijuana, bajacalifornia	5518000000.0	322416.74	BajaCalifornia	Tijuana	4437390.295835577	106497.36710005385	66.96903296644776
16	lapaz, bajacaliforniasur	963000000.0	56268.090000000004	BajaCaliforniaSur	LaPaz	387956.30055600667	9310.95121334416	83.45251951266845
17	loreto, bajacaliforniasur			BajaCaliforniaSur	Loreto	49980.86244595112	1199.5406987028268	
18	loscabos, bajacaliforniasur	1027200000.0	60019.296	BajaCaliforniaSur	LosCabos	660030.3788312253	15840.729091949406	73.6072727478353
19	mulegé, bajacaliforniasur	195240000.0	11407.8732	BajaCaliforniaSur	Mulegé	179732.0379860371	4313.56891166489	62.18779051940295
20	calkiní, campeche	150210000.0	8776.7703	Campeche	Calkiní	172876.98605324386	4149.0476652778525	52.72694256020518
21	campeche, campeche	983900000.0	57489.277	Campeche	Campeche	263493.4499329576	6323.842798390982	88.99996116077268
22	carmen, campeche			Campeche	Carmen	576539.3741726974	13836.944980144739	
23	champotón, campeche	247670000.0	14471.3581	Campeche	Champotón	250737.90038371691	6017.709609209206	58.4164142188617
24	escárcega, campeche	169940000.0	9929.5942	Campeche	Escárcega	207119.275649641	4970.862615591384	49.93891476862786
25	hecelchakán, campeche			Campeche	Hecelchakán	90330.34166117139	2167.928199868113	
26	hopelchén, campeche	94290000.0	5509.3647	Campeche	Hopelchén	210770.53751766207	5058.49290042389	8.183734861046862
27	tenabo, campeche			Campeche	Tenabo	40127.70037929508	963.064809103082	
28	berriozábal, chiapas	107710000.0	6293.4953000000005	Chiapas	Berriozábal	149106.83291156514	3578.5639898775635	43.13868813284785
29	cacahoatán, chiapas	111220000.0	6498.5846	Chiapas	Cacahoatán	118484.75843525126	2843.6342024460305	56.24225308314013
30	catazajá, chiapas			Chiapas	Catazajá	100439.07954111957	2410.5379089868698	
31	chamula, chiapas	168990000.0	9874.0857	Chiapas	Chamula	384928.15663949755	9238.275759347942	6.439177863850805
32	chiapadecorzo, chiapas	245270000.0	14331.1261	Chiapas	ChiapadeCorzo	420171.21224149445	10084.109093795865	29.63491477619567
33	comitándedomínguez, chiapas	462100000.0	27000.503	Chiapas	ComitándeDomínguez	459486.7131184661	11027.681114843186	59.15749749238677
34	fronterahidalgo, chiapas			Chiapas	FronteraHidalgo	21223.52982585941	509.36471582062575	
35	huehuetán, chiapas	91060000.0	5320.6358	Chiapas	Huehuetán	137672.90946768696	3304.149827224487	37.899342269875206
36	laindependencia, chiapas	100190000.0	5854.1017	Chiapas	LaIndependencia	206380.94155767697	4953.142597384247	15.390219521053986
37	latrinitaria, chiapas	183110000.0	10699.1173	Chiapas	LaTrinitaria	425580.14404040034	10213.923456969607	4.534896005209632
38	lasmargaritas, chiapas	225690000.0	13187.0667	Chiapas	LasMargaritas	633094.7083255257	15194.272999812618	15.221021819906458
39	mazatán, chiapas			Chiapas	Mazatán	126563.93980492943	3037.534555318306	
40	metapa, chiapas			Chiapas	Metapa	30924.14359616114	742.1794463078674	
41	palenque, chiapas	305500000.0	17850.365	Chiapas	Palenque	515110.591270205	12362.654190484918	30.742849289160656
42	saltodeagua, chiapas	119790000.0	6999.3297	Chiapas	SaltodeAgua	306276.30018696026	7350.6312044870465	5.019073533384864
43	sancristóbaldelascasas, chiapas	570600000.0	33340.158	Chiapas	SanCristóbaldelasCasas	401144.9385922245	9627.478526213388	71.1234766007606
44	suchiate, chiapas	103340000.0	6038.1562	Chiapas	Suchiate	67829.83829286162	1627.9161190286788	73.0395162843141
45	tapachula, chiapas	1099100000.0	64220.413	Chiapas	Tapachula	815062.7377998107	19561.505707195458	69.54004997259133
46	tuxtlachico, chiapas	96880000.0	5660.6984	Chiapas	TuxtlaChico	232864.5279146605	5588.748669951851	1.271039807528854
47	tuxtlagutiérrez, chiapas	1993900000.0	116503.577	Chiapas	TuxtlaGutiérrez	1145001.848920077	27480.044374081852	76.41270329915977
48	uniónjuárez, chiapas			Chiapas	UniónJuárez	38947.42236516987	934.7381367640769	
49	zinacantán, chiapas	75750000.0	4426.0725	Chiapas	Zinacantán	197775.6480035747	4746.615552085793	7.242155479509036
50	ahumada, chihuahua			Chihuahua	Ahumada	33384.073794732874	801.217771073589	
51	aldama, chihuahua			Chihuahua	Aldama	73525.30354341176	1764.6072850418823	
52	aquilesserdán, chihuahua			Chihuahua	AquilesSerdán	71869.82399974794	1724.8757759939506	
53	ascensión, chihuahua			Chihuahua	Ascensión	70601.29012647422	1694.4309630353814	
54	bachíniva, chihuahua			Chihuahua	Bachíniva	31009.342273038932	744.2242145529344	
55	buenaventura, chihuahua			Chihuahua	Buenaventura	91973.3386944332	2207.3601286663966	
56	camargo, chihuahua	168720000.0	9858.3096	Chihuahua	Camargo	125524.27443980938	3012.582586555425	69.44118506325441
57	casasgrandes, chihuahua			Chihuahua	CasasGrandes	98918.2112627594	2374.037070306226	
58	chihuahua, chihuahua	3104000000.0	181366.72	Chihuahua	Chihuahua	1819713.1762253542	43673.1162294085	75.91999445686149
59	coyamedelsotol, chihuahua			Chihuahua	CoyamedelSotol	11163.105873601762	267.9145409664423	
60	cuauhtémoc, chihuahua	558000000.0	32603.940000000002	Chihuahua	Cuauhtémoc	422522.28135587485	10140.534752540996	68.89782415088177
61	cusihuiriachi, chihuahua			Chihuahua	Cusihuiriachi	92152.50402167518	2211.660096520204	
62	delicias, chihuahua	507400000.0	29647.382	Chihuahua	Delicias	364871.3069279289	8756.911366270293	70.46312093840093
63	dr.belisariodomínguez, chihuahua			Chihuahua	Dr.BelisarioDomínguez	17877.677705644026	429.0642649354566	
64	galeana, chihuahua			Chihuahua	Galeana	28429.95773612816	682.3189856670758	
65	gómezfarías, chihuahua			Chihuahua	GómezFarías	31361.39560125921	752.673494430221	
66	granmorelos, chihuahua			Chihuahua	GranMorelos	15107.772303087695	362.5865352741047	
67	guadalupe, chihuahua			Chihuahua	Guadalupe	72377.84368140272	1737.0682483536652	
68	guerrero, chihuahua	126220000.0	7375.0346	Chihuahua	Guerrero	178265.2597755024	4278.366234612058	41.98852660824048
69	hidalgodelparral, chihuahua	385200000.0	22507.236	Chihuahua	HidalgodelParral	224435.84641415178	5386.460313939642	76.06787295454829
70	ignaciozaragoza, chihuahua			Chihuahua	IgnacioZaragoza	42384.63271636358	1017.2311851927259	
71	janos, chihuahua			Chihuahua	Janos	86462.22825649413	2075.093478155859	
72	juárez, chihuahua			Chihuahua	Juárez	5354721.982751141	128513.32758602739	
73	julimes, chihuahua			Chihuahua	Julimes	24907.58305675227	597.7819933620544	
74	lacruz, chihuahua			Chihuahua	LaCruz	30653.166542394876	735.675997017477	
75	madera, chihuahua			Chihuahua	Madera	103843.84842267082	2492.2523621440996	
76	manuelbenavides, chihuahua			Chihuahua	ManuelBenavides	8992.084779338877	215.81003470413305	
77	matachí, chihuahua			Chihuahua	Matachí	16629.44595756114	399.1067029814674	
78	meoqui, chihuahua	132780000.0	7758.3354	Chihuahua	Meoqui	146269.33828361187	3510.464118806685	54.75235423816963
79	namiquipa, chihuahua			Chihuahua	Namiquipa	144280.0707499916	3462.721697999799	
80	nuevocasasgrandes, chihuahua	220300000.0	12872.129	Chihuahua	NuevoCasasGrandes	93533.26098148127	2244.7982635555504	82.56078490546862
81	ojinaga, chihuahua			Chihuahua	Ojinaga	124403.50924536015	2985.6842218886436	
82	praxedisg.guerrero, chihuahua			Chihuahua	PraxedisG.Guerrero	15483.502912182521	371.6040698923805	
83	rivapalacio, chihuahua			Chihuahua	RivaPalacio	43932.144689483466	1054.3714725476034	
84	rosales, chihuahua			Chihuahua	Rosales	90241.97747394066	2165.807459374576	
85	santaisabel, chihuahua			Chihuahua	SantaIsabel	24284.582974150086	582.8299913796021	
86	satevó, chihuahua			Chihuahua	Satevó	21100.867420045364	506.4208180810887	
87	saucillo, chihuahua	97630000.0	5704.5209	Chihuahua	Saucillo	112663.20554683378	2703.9169331240105	52.60045531388955
88	temósachic, chihuahua			Chihuahua	Temósachic	36662.174930191184	879.8921983245883	
89	abasolo, coahuila			Coahuila	Abasolo	6924.302062904024	166.18324950969657	
90	acuña, coahuila	463700000.0	27093.991	Coahuila	Acuña	386399.69269057305	9273.592624573752	65.77251160755996
91	allende, coahuila			Coahuila	Allende	31357.539202871536	752.580940868917	
92	arteaga, coahuila			Coahuila	Arteaga	182606.18932062076	4382.548543694898	
93	candela, coahuila			Coahuila	Candela	15210.418544599663	365.0500450703919	
94	castaños, coahuila			Coahuila	Castaños	120934.35904501703	2902.4246170804086	
95	cuatrociénegas, coahuila			Coahuila	CuatroCiénegas	39813.70948192502	955.5290275662005	
96	escobedo, coahuila			Coahuila	Escobedo	16031.56444786119	384.7575467486685	
97	frontera, coahuila	232210000.0	13568.0303	Coahuila	Frontera	292628.8592875987	7023.092622902369	48.23793529630923
98	generalcepeda, coahuila			Coahuila	GeneralCepeda	70305.53002428726	1687.3327205828944	
99	guerrero, coahuila			Coahuila	Guerrero	9023.097294392224	216.55433506541337	
100	hidalgo, coahuila			Coahuila	Hidalgo	4871.049493986289	116.90518785567095	
101	jiménez, coahuila			Coahuila	Jiménez	54929.9901738842	1318.3197641732208	
102	juárez, coahuila			Coahuila	Juárez	11065.410452152226	265.5698508516534	
103	lamadrid, coahuila			Coahuila	Lamadrid	10221.337551041384	245.31210122499323	
104	matamoros, coahuila	301170000.0	17597.3631	Coahuila	Matamoros	432255.99414162023	10374.143859398886	41.047168257846046
105	monclova, coahuila	795800000.0	46498.594000000005	Coahuila	Monclova	302736.5876841643	7265.678104419943	84.37441333297102
106	morelos, coahuila			Coahuila	Morelos	33554.6019323533	805.3104463764791	
107	múzquiz, coahuila	217560000.0	12712.0308	Coahuila	Múzquiz	154887.07320764576	3717.289756983498	70.75770334836274
108	nadadores, coahuila			Coahuila	Nadadores	30001.83475071908	720.044034017258	
109	nava, coahuila			Coahuila	Nava	207465.02318511094	4979.160556442663	
