	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	NAME	LABEL	FIPSCODE	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)
0	city of wakefield-82780	100920783.190136	5261.00042770179	Wakefield	City of Wakefield	82780	7131.017968633837	171.14443124721208	96.74692230880554
1	city of buchanan-11400	194089255.489548	10117.872888670137	Buchanan	City of Buchanan	11400	14425.184560664466	346.2044294559472	96.57828840839043
2	city of ovid-61860	73184840.646892	3815.1257429224797	Ovid	City of Ovid	61860	2363.9148831754655	56.73395719621117	98.51292038535139
3	city of westland-86000	3730321405.7039995	194461.6548793495	Westland	City of Westland	86000	1516921.0027598648	36406.10406623676	81.2785178194517
4	city of livonia-49000	8996403817.796	468982.5310217054	Livonia	City of Livonia	49000	2724383.4719084855	65385.20332580365	86.05807274242001
5	city of watervliet-84500	76593301.504456	3992.808807427291	Watervliet	City of Watervliet	84500	3863.440439157392	92.72257053977741	97.67776081921834
6	city of berkley-07660	753652655.61788	39287.91293736008	Berkley	City of Berkley	07660	285938.9213082426	6862.534111397822	82.53270892159806
7	city of east jordan-24020	148437273.462016	7738.0350655748925	East Jordan	City of East Jordan	24020	6626.76135129266	159.04227243102383	97.94466849680516
8	city of hart-36920	110085149.148684	5738.738825120897	Hart	City of Hart	36920	3932.3055144919126	94.37533234780591	98.35546911571085
9	city of mackinac island-50280	80558458.698072	4199.512451930494	Mackinac Island	City of Mackinac Island	50280	4454.665695906886	106.91197670176527	97.4541812192361
10	city of montrose-55280	57305222.174256004	2987.3212319439654	Montrose	City of Montrose	55280	3309.1046080226693	79.41851059254405	97.34148073051844
11	city of standish-76120	111049390.000568	5789.00470072961	Standish	City of Standish	76120	3665.7061878396516	87.97694850815164	98.48027505493192
12	city of white cloud-86680	47884274.043996006	2496.2072059135116	White Cloud	City of White Cloud	86680	3036.8476794757266	72.88434430741744	97.08019654238821
13	city of harper woods-36700	617958669.97066	32214.185465570503	Harper Woods	City of Harper Woods	36700	368574.7793456944	8845.794704296666	72.54068486769356
14	city of battle creek-05920	55345569.313907996	2885.1645283340235	Battle Creek	City of Battle Creek	05920	607022.7576620617	14568.546183889483	404.94680774069326
15	city of battle creek-05920	4371070563.188	227863.90845899042	Battle Creek	City of Battle Creek	05920	607022.7576620617	14568.546183889483	93.6064705102206
16	city of parchment-62340	85736717.03981999	4469.455059285816	Parchment	City of Parchment	62340	16750.286554282913	402.0068773027899	91.00546102443577
17	city of yale-89000	84579867.475644	4409.1484915053215	Yale	City of Yale	89000	1730.3710020268068	41.52890404864337	99.0581196317463
18	city of galesburg-31260	127223974.720568	6632.1858021832095	Galesburg	City of Galesburg	31260	5778.193403780263	138.6766416907263	97.90903563580687
19	city of williamston-87420	181255207.54114	9448.833969119627	Williamston	City of Williamston	87420	8201.991870585658	196.8478048940558	97.91669738787465
20	city of new baltimore-57100	511519932.90836006	26665.534102512807	New Baltimore	City of New Baltimore	57100	214226.58194845903	5141.437966763016	80.71878872931138
21	city of caro-13420	248828835.324324	12971.44718545701	Caro	City of Caro	13420	7545.825451676022	181.09981084022454	98.60385808729758
